t(s)	total_current(A)
0	-0.05
0.1	-0.05
0.3	-0.05
0.7	-0.05
1.5	-0.05
3.1	-0.05
6.3	-0.05
12.7	-0.05
25.5	-0.05
51.1	-0.05
102.3	-0.05
192.3	-0.05
282.3	-0.05
372.3	-0.05
462.3	-0.05
552.3	-0.05
642.3	-0.05
732.3	-0.05
822.3	-0.05
912.3	-0.05
1000	-0.05
1090	-0.05
1180	-0.05
1270	-0.05
1360	-0.05
1450	-0.05
1540	-0.05
1630	-0.05
1720	-0.05
1810	-0.05
1900	-0.05
1990	-0.05
2000	-0.05
2090	-0.05
2180	-0.05
2270	-0.05
2360	-0.05
2450	-0.05
2540	-0.05
2630	-0.05
2720	-0.05
2810	-0.05
2900	-0.05
2990	-0.05
3080	-0.05
3170	-0.05
3260	-0.05
3350	-0.05
3440	-0.05
3530	-0.05
3620	-0.05
3710	-0.05
3800	-0.05
3890	-0.05
3980	-0.05
4000	-0.05
4090	-0.05
4180	-0.05
4270	-0.05
4360	-0.05
4450	-0.05
4540	-0.05
4630	-0.05
4720	-0.05
4810	-0.05
4900	-0.05
4990	-0.05
5080	-0.05
5170	-0.05
5260	-0.05
5350	-0.05
5440	-0.05
5530	-0.05
5620	-0.05
5710	-0.05
5800	-0.05
5890	-0.05
5980	-0.05
6070	-0.05
6160	-0.05
6250	-0.05
6340	-0.05
6430	-0.05
6520	-0.05
6610	-0.05
6700	-0.05
6790	-0.05
6880	-0.05
6970	-0.05
7060	-0.05
7150	-0.05
7240	-0.05
7330	-0.05
7420	-0.05
7510	-0.05
7600	-0.05
7690	-0.05
7780	-0.05
7870	-0.05
7960	-0.05
8050	-0.05
8140	-0.05
8230	-0.05
8320	-0.05
8410	-0.05
8500	-0.05
8590	-0.05
8680	-0.05
8770	-0.05
8860	-0.05
8950	-0.05
9040	-0.05
9130	-0.05
9220	-0.05
9310	-0.05
9400	-0.05
9490	-0.05
9580	-0.05
9670	-0.05
9760	-0.05
9850	-0.05
9940	-0.05
10030	-0.05
10120	-0.05
10210	-0.05
10300	-0.05
10390	-0.05
10480	-0.05
10570	-0.05
10660	-0.05
10750	-0.05
