t(s)	total_current(A)
0	-15
0.1	-15
0.2	-15
0.4	-15
0.8	-15
1.6	-15
3.2	-15
6.4	-15
9.6	-15
16	-15
22.4	-15
28.8	-15
35.2	-15
41.6	-15
48	-15
54.4	-15
60.8	-15
67.2	-15
73.6	-15
80	-15
86.4	-15
92.8	-15
99.2	-15
105.6	-15
112	-15
118.4	-15
124.8	-15
131.2	-15
137.6	-15
144	-15
150.4	-15
156.8	-15
163.2	-15
169.6	-15
176	-15
182.4	-15
188.8	-15
195.2	-15
201.6	-15
208	-15
214.4	-15
220.8	-15
227.2	-15
233.6	-15
240	-15
246.4	-15
252.8	-15
259.2	-15
265.6	-15
272	-15
278.4	-15
284.8	-15
291.2	-15
