t(s)	total_current_estimated(A)
0	0
0.1	-0.5
0.2	-0.5
0.4	-0.5
0.8	-0.5
1.6	-0.5
3.2	-0.5
6.4	-0.5
12.8	-0.5
22.8	-0.5
32.8	-0.5
42.8	-0.5
52.8	-0.5
62.8	-0.5
72.8	-0.5
82.8	-0.5
92.8	-0.5
102.8	-0.5
112.8	-0.5
122.8	-0.5
132.8	-0.5
142.8	-0.5
152.8	-0.5
162.8	-0.5
172.8	-0.5
182.8	-0.5
192.8	-0.5
202.8	-0.5
212.8	-0.5
222.8	-0.5
232.8	-0.5
242.8	-0.5
252.8	-0.5
262.8	-0.5
272.8	-0.5
282.8	-0.5
292.8	-0.5
302.8	-0.5
312.8	-0.5
322.8	-0.5
332.8	-0.5
342.8	-0.5
352.8	-0.5
362.8	-0.5
372.8	-0.5
382.8	-0.5
392.8	-0.5
402.8	-0.5
412.8	-0.5
422.8	-0.5
432.8	-0.5
442.8	-0.5
452.8	-0.5
462.8	-0.5
472.8	-0.5
482.8	-0.5
492.8	-0.5
502.8	-0.5
512.8	-0.5
522.8	-0.5
532.8	-0.5
542.8	-0.5
552.8	-0.5
562.8	-0.5
572.8	-0.5
582.8	-0.5
592.8	-0.5
602.8	-0.5
612.8	-0.5
622.8	-0.5
632.8	-0.5
642.8	-0.5
652.8	-0.5
662.8	-0.5
672.8	-0.5
682.8	-0.5
692.8	-0.5
702.8	-0.5
712.8	-0.5
722.8	-0.5
732.8	-0.5
742.8	-0.5
752.8	-0.5
762.8	-0.5
772.8	-0.5
782.8	-0.5
792.8	-0.5
802.8	-0.5
812.8	-0.5
822.8	-0.5
832.8	-0.5
842.8	-0.5
852.8	-0.5
862.8	-0.5
872.8	-0.5
882.8	-0.5
892.8	-0.5
902.8	-0.5
912.8	-0.5
922.8	-0.5
932.8	-0.5
942.8	-0.5
952.8	-0.5
962.8	-0.5
972.8	-0.5
982.8	-0.5
992.8	-0.5
1000	-0.5
1010	-0.5
1020	-0.5
1030	-0.5
1040	-0.5
1050	-0.5
1060	-0.5
1070	-0.5
1080	-0.5
1090	-0.5
1100	-0.5
1110	-0.5
1120	-0.5
1130	-0.5
1140	-0.5
1150	-0.5
1160	-0.5
1170	-0.5
1180	-0.5
1190	-0.5
1200	-0.5
1210	-0.5
1220	-0.5
1230	-0.5
1240	-0.5
1250	-0.5
1260	-0.5
1270	-0.5
1280	-0.5
1290	-0.5
1300	-0.5
1310	-0.5
1320	-0.5
1330	-0.5
1340	-0.5
1350	-0.5
1360	-0.5
1370	-0.5
1380	-0.5
1390	-0.5
1400	-0.5
1410	-0.5
1420	-0.5
1430	-0.5
1440	-0.5
1450	-0.5
1460	-0.5
1470	-0.5
1480	-0.5
1490	-0.5
1500	-0.5
1510	-0.5
1520	-0.5
1530	-0.5
1540	-0.5
1550	-0.5
1560	-0.5
1570	-0.5
1580	-0.5
1590	-0.5
1600	-0.5
1610	-0.5
1620	-0.5
1630	-0.5
1640	-0.5
1650	-0.5
1660	-0.5
1670	-0.5
1680	-0.5
1690	-0.5
1700	-0.5
1710	-0.5
1720	-0.5
1730	-0.5
1740	-0.5
1750	-0.5
1760	-0.5
1770	-0.5
1780	-0.5
1790	-0.5
1800	-0.5
1810	-0.5
1820	-0.5
1830	-0.5
1840	-0.5
1850	-0.5
