t(s)	total_current_estimated(A)
0	0
0.05	-5
0.1	-5
0.2	-5
0.4	-5
0.8	-5
1.6	-5
3.2	-5
6.4	-5
12.8	-5
22.8	-5
32.8	-5
42.8	-5
52.8	-5
62.8	-5
72.8	-5
82.8	-5
92.8	-5
102.8	-5
112.8	-5
122.8	-5
132.8	-5
142.8	-5
152.8	-5
162.8	-5
172.8	-5
182.8	-5
192.8	-5
202.8	-5
212.8	-5
222.8	-5
232.8	-5
242.8	-5
252.8	-5
262.8	-5
272.8	-5
282.8	-5
292.8	-5
302.8	-5
312.8	-5
322.8	-5
332.8	-5
342.8	-5
352.8	-5
362.8	-5
372.8	-5
382.8	-5
392.8	-5
402.8	-5
412.8	-5
422.8	-5
432.8	-5
442.8	-5
452.8	-5
462.8	-5
472.8	-5
482.8	-5
492.8	-5
502.8	-5
512.8	-5
522.8	-5
532.8	-5
542.8	-5
552.8	-5
562.8	-5
572.8	-5
582.8	-5
592.8	-5
602.8	-5
612.8	-5
622.8	-5
632.8	-5
642.8	-5
652.8	-5
662.8	-5
672.8	-5
682.8	-5
692.8	-5
702.8	-5
712.8	-5
722.8	-5
732.8	-5
742.8	-5
752.8	-5
762.8	-5
772.8	-5
782.8	-5
792.8	-5
802.8	-5
812.8	-5
822.8	-5
832.8	-5
842.8	-5
852.8	-5
862.8	-5
872.8	-5
882.8	-5
892.8	-5
902.8	-5
912.8	-5
922.8	-5
932.8	-5
942.8	-5
952.8	-5
962.8	-5
972.8	-5
982.8	-5
992.8	-5
1000	-5
1010	-5
1020	-5
1030	-5
1040	-5
1050	-5
1060	-5
1070	-5
1080	-5
1090	-5
1100	-5
1110	-5
1120	-5
1130	-5
1140	-5
1150	-5
1160	-5
1170	-5
1180	-5
1190	-5
1200	-5
1210	-5
1220	-5
1230	-5
1240	-5
1250	-5
1260	-5
1270	-5
1280	-5
1290	-5
1300	-5
1310	-5
1320	-5
1330	-5
1340	-5
1350	-5
1360	-5
1370	-5
1380	-5
1390	-5
1400	-5
1410	-5
1420	-5
1430	-5
1440	-5
1450	-5
1460	-5
1470	-5
1480	-5
1490	-5
1500	-5
1510	-5
1520	-5
1530	-5
1540	-5
1550	-5
1560	-5
1570	-5
1580	-5
1590	-5
1600	-5
1610	-5
1620	-5
1630	-5
1640	-5
1650	-5
1660	-5
1670	-5
1680	-5
1690	-5
1700	-5
1710	-5
1720	-5
1730	-5
1740	-5
1750	-5
1760	-5
1770	-5
1780	-5
1790	-5
1800	-5
1810	-5
1820	-5
1830	-5
1840	-5
1850	-5
1860	-5
1870	-5
1880	-5
1890	-5
1900	-5
1910	-5
1920	-5
1930	-5
1940	-5
1950	-5
1960	-5
1970	-5
1980	-5
1990	-5
2000	-5
2010	-5
2020	-5
2030	-5
2040	-5
2050	-5
2060	-5
2070	-5
2080	-5
2090	-5
2100	-5
2110	-5
2120	-5
2130	-5
2140	-5
2150	-5
2160	-5
2170	-5
2180	-5
2190	-5
2200	-5
2210	-5
2220	-5
2230	-5
2240	-5
2250	-5
2260	-5
2270	-5
2280	-5
2290	-5
2300	-5
2310	-5
2320	-5
2330	-5
2340	-5
2350	-5
2360	-5
2370	-5
2380	-5
2390	-5
2400	-5
2410	-5
2420	-5
2430	-5
2440	-5
2450	-5
2460	-5
2470	-5
2480	-5
2490	-5
2500	-5
2510	-5
2520	-5
2530	-5
2540	-5
2550	-5
2560	-5
2570	-5
2580	-5
2590	-5
2600	-5
2610	-5
2620	-5
2630	-5
2640	-5
2650	-5
2660	-5
2670	-5
2680	-5
2690	-5
2700	-5
2710	-5
2720	-5
2730	-5
2740	-5
2750	-5
2760	-5
2770	-5
2780	-5
2790	-5
2800	-5
2810	-5
2820	-5
2830	-5
2840	-5
2850	-5
2860	-5
2870	-5
2880	-5
2890	-5
2900	-5
2910	-5
2920	-5
2930	-5
2940	-5
2950	-5
2960	-5
2970	-5
2980	-5
2990	-5
3000	-5
3010	-5
3020	-5
3030	-5
3040	-5
3050	-5
3060	-5
3070	-5
3080	-5
3090	-5
3100	-5
3110	-5
3120	-5
3130	-5
3140	-5
3150	-5
3160	-5
3170	-5
3180	-5
3190	-5
3200	-5
3210	-5
3220	-5
3230	-5
3240	-5
3250	-5
3260	-5
3270	-5
3280	-5
3290	-5
3300	-5
3310	-5
3320	-5
3330	-5
3340	-5
3350	-5
3360	-5
3370	-5
3380	-5
3390	-5
3400	-5
3410	-5
3420	-5
3430	-5
3440	-5
3450	-5
3460	-5
3470	-5
3480	-5
3490	-5
3500	-5
3510	-5
3520	-5
3530	-5
3540	-5
3550	-5
3560	-5
