t(s)	total_current(A)
0	-0.5
0.1	-0.5
0.3	-0.5
0.7	-0.5
1.5	-0.5
3.1	-0.5
6.3	-0.5
12.7	-0.5
25.5	-0.5
51.1	-0.5
102.3	-0.5
192.3	-0.5
282.3	-0.5
372.3	-0.5
462.3	-0.5
552.3	-0.5
642.3	-0.5
732.3	-0.5
822.3	-0.5
912.3	-0.5
1000	-0.5
1090	-0.5
1180	-0.5
1270	-0.5
1360	-0.5
1450	-0.5
1540	-0.5
1630	-0.5
1720	-0.5
1810	-0.5
1900	-0.5
1990	-0.5
2000	-0.5
2090	-0.5
2180	-0.5
2270	-0.5
2360	-0.5
2450	-0.5
2540	-0.5
2630	-0.5
2720	-0.5
2810	-0.5
2900	-0.5
2990	-0.5
3080	-0.5
3170	-0.5
3260	-0.5
3350	-0.5
3440	-0.5
3530	-0.5
3620	-0.5
3710	-0.5
3800	-0.5
3890	-0.5
3980	-0.5
4000	-0.5
4090	-0.5
4180	-0.5
4270	-0.5
4360	-0.5
4450	-0.5
4540	-0.5
4630	-0.5
4720	-0.5
4810	-0.5
4900	-0.5
4990	-0.5
5080	-0.5
5170	-0.5
5260	-0.5
5350	-0.5
5440	-0.5
5530	-0.5
5620	-0.5
5710	-0.5
5800	-0.5
5890	-0.5
5980	-0.5
6070	-0.5
6160	-0.5
6250	-0.5
6340	-0.5
6430	-0.5
6520	-0.5
6610	-0.5
6700	-0.5
6790	-0.5
6880	-0.5
6970	-0.5
7060	-0.5
7150	-0.5
7240	-0.5
7330	-0.5
7420	-0.5
7510	-0.5
7600	-0.5
7690	-0.5
7780	-0.5
7870	-0.5
7960	-0.5
8050	-0.5
8140	-0.5
8230	-0.5
8320	-0.5
8410	-0.5
8500	-0.5
8590	-0.5
8680	-0.5
8770	-0.5
8860	-0.5
8950	-0.5
9040	-0.5
9130	-0.5
9220	-0.5
9310	-0.5
9400	-0.5
9490	-0.5
9580	-0.5
9670	-0.5
9760	-0.5
9850	-0.5
9940	-0.5
10030	-0.5
10120	-0.5
10210	-0.5
10300	-0.5
10390	-0.5
10480	-0.5
10570	-0.5
10660	-0.5
10750	-0.5
10840	-0.5
10930	-0.5
11020	-0.5
11110	-0.5
11200	-0.5
11290	-0.5
11380	-0.5
11470	-0.5
11560	-0.5
11650	-0.5
11740	-0.5
11830	-0.5
11920	-0.5
12010	-0.5
12100	-0.5
12190	-0.5
12280	-0.5
12370	-0.5
12460	-0.5
12550	-0.5
12640	-0.5
12730	-0.5
12820	-0.5
12910	-0.5
13000	-0.5
13090	-0.5
13180	-0.5
13270	-0.5
13360	-0.5
13450	-0.5
13540	-0.5
13630	-0.5
13720	-0.5
13810	-0.5
13900	-0.5
13990	-0.5
14080	-0.5
14170	-0.5
14260	-0.5
14350	-0.5
14440	-0.5
14530	-0.5
14620	-0.5
14710	-0.5
14800	-0.5
14890	-0.5
14980	-0.5
15070	-0.5
15160	-0.5
15250	-0.5
15340	-0.5
15430	-0.5
15520	-0.5
15610	-0.5
15700	-0.5
15790	-0.5
15880	-0.5
15970	-0.5
16060	-0.5
16150	-0.5
16240	-0.5
16330	-0.5
16420	-0.5
16510	-0.5
16600	-0.5
16690	-0.5
16780	-0.5
16870	-0.5
16960	-0.5
17050	-0.5
17140	-0.5
17230	-0.5
17320	-0.5
17410	-0.5
17500	-0.5
17590	-0.5
17680	-0.5
17770	-0.5
17860	-0.5
17950	-0.5
18040	-0.5
18130	-0.5
18220	-0.5
18310	-0.5
18400	-0.5
18490	-0.5
