t(s)	total_current(A)
0	-10
0.05	-10
0.1	-10
0.2	-10
0.4	-10
0.8	-10
1.6	-10
3.2	-10
6.4	-10
12.8	-10
19.2	-10
25.6	-10
32	-10
38.4	-10
48.4	-10
58.4	-10
68.4	-10
78.4	-10
88.4	-10
98.4	-10
108.4	-10
118.4	-10
128.4	-10
138.4	-10
148.4	-10
158.4	-10
168.4	-10
178.4	-10
188.4	-10
198.4	-10
208.4	-10
218.4	-10
228.4	-10
238.4	-10
248.4	-10
258.4	-10
268.4	-10
278.4	-10
288.4	-10
298.4	-10
308.4	-10
318.4	-10
328.4	-10
338.4	-10
348.4	-10
358.4	-10
368.4	-10
378.4	-10
388.4	-10
398.4	-10
408.4	-10
418.4	-10
428.4	-10
438.4	-10
448.4	-10
458.4	-10
468.4	-10
478.4	-10
488.4	-10
498.4	-10
508.4	-10
518.4	-10
528.4	-10
538.4	-10
548.4	-10
558.4	-10
568.4	-10
578.4	-10
588.4	-10
598.4	-10
608.4	-10
618.4	-10
628.4	-10
638.4	-10
648.4	-10
658.4	-10
668.4	-10
678.4	-10
688.4	-10
698.4	-10
708.4	-10
718.4	-10
728.4	-10
738.4	-10
748.4	-10
758.4	-10
768.4	-10
778.4	-10
788.4	-10
798.4	-10
808.4	-10
818.4	-10
828.4	-10
838.4	-10
848.4	-10
858.4	-10
868.4	-10
878.4	-10
888.4	-10
898.4	-10
908.4	-10
918.4	-10
928.4	-10
938.4	-10
948.4	-10
958.4	-10
968.4	-10
978.4	-10
988.4	-10
998.4	-10
1000	-10
1010	-10
1020	-10
1030	-10
1040	-10
1050	-10
1060	-10
1070	-10
1080	-10
1090	-10
1100	-10
1110	-10
1120	-10
1130	-10
1140	-10
1150	-10
1160	-10
1170	-10
1180	-10
1190	-10
1200	-10
1210	-10
1220	-10
1230	-10
1240	-10
1250	-10
1260	-10
1270	-10
1280	-10
1290	-10
1300	-10
1310	-10
1320	-10
1330	-10
1340	-10
1350	-10
1360	-10
1370	-10
1380	-10
1390	-10
1400	-10
1410	-10
1420	-10
1430	-10
1440	-10
1450	-10
1460	-10
1470	-10
1480	-10
1490	-10
1500	-10
1510	-10
1520	-10
1530	-10
1540	-10
1550	-10
