t(s)	total_voltage(V)
0	4.1809414
0.1	4.2
0.2	4.2
0.4	4.2
0.8	4.2
1.6	4.2
3.2	4.2
6.4	4.2
12.8	4.2
22.8	4.2
32.8	4.2
42.8	4.2
52.8	4.2
62.8	4.2
72.8	4.2
82.8	4.2
92.8	4.2
102.8	4.2
112.8	4.2
122.8	4.2
132.8	4.2
142.8	4.2
152.8	4.2
162.8	4.2
172.8	4.2
182.8	4.2
192.8	4.2
202.8	4.2
212.8	4.2
222.8	4.2
232.8	4.2
242.8	4.2
252.8	4.2
262.8	4.2
272.8	4.2
282.8	4.2
292.8	4.2
302.8	4.2
312.8	4.2
322.8	4.2
332.8	4.2
342.8	4.2
352.8	4.2
362.8	4.2
372.8	4.2
382.8	4.2
392.8	4.2
402.8	4.2
412.8	4.2
422.8	4.2
432.8	4.2
442.8	4.2
452.8	4.2
462.8	4.2
472.8	4.2
482.8	4.2
492.8	4.2
502.8	4.2
512.8	4.2
522.8	4.2
532.8	4.2
542.8	4.2
552.8	4.2
562.8	4.2
572.8	4.2
582.8	4.2
592.8	4.2
602.8	4.2
612.8	4.2
622.8	4.2
632.8	4.2
642.8	4.2
652.8	4.2
662.8	4.2
672.8	4.2
682.8	4.2
692.8	4.2
702.8	4.2
712.8	4.2
722.8	4.2
732.8	4.2
742.8	4.2
752.8	4.2
762.8	4.2
772.8	4.2
782.8	4.2
792.8	4.2
802.8	4.2
812.8	4.2
822.8	4.2
832.8	4.2
842.8	4.2
852.8	4.2
862.8	4.2
872.8	4.2
882.8	4.2
892.8	4.2
902.8	4.2
912.8	4.2
922.8	4.2
932.8	4.2
942.8	4.2
952.8	4.2
962.8	4.2
972.8	4.2
982.8	4.2
992.8	4.2
1000	4.2
1010	4.2
1020	4.2
1030	4.2
1040	4.2
1050	4.2
1060	4.2
1070	4.2
1080	4.2
1090	4.2
1100	4.2
1110	4.2
1120	4.2
1130	4.2
1140	4.2
1150	4.2
1160	4.2
1170	4.2
1180	4.2
1190	4.2
1200	4.2
1210	4.2
1220	4.2
1230	4.2
1240	4.2
1250	4.2
1260	4.1973846
1270	4.1969536
1280	4.1966953
1290	4.1966005
1300	4.1964922
1310	4.1963438
1320	4.1962183
1330	4.1961428
1340	4.196093
1350	4.1960273
1360	4.1959433
1370	4.1958777
1380	4.1958398
1390	4.1957994
1400	4.1957437
1410	4.1956914
1420	4.1956546
1430	4.1956232
1440	4.1955855
1450	4.1955443
1460	4.1955097
1470	4.1954824
1480	4.1954541
1490	4.1954217
1500	4.1953915
1510	4.1953667
1520	4.1953432
1530	4.1953175
1540	4.195292
1550	4.1952695
1560	4.195249
1570	4.195228
1580	4.1952067
1590	4.1951866
1600	4.1951684
1610	4.1951506
1620	4.1951327
1630	4.1951151
1640	4.1950989
1650	4.1950835
1660	4.1950682
1670	4.195053
1680	4.1950387
1690	4.1950251
1700	4.1950119
1710	4.1949987
1720	4.1949861
1730	4.1949741
1740	4.1949625
1750	4.1949511
1760	4.19494
1770	4.1949294
1780	4.1949191
1790	4.1949091
1800	4.1948994
1810	4.19489
1820	4.194881
1830	4.1948722
1840	4.1948636
1850	4.1948553
1860	4.1948473
1870	4.1948396
1880	4.194832
1890	4.1948247
1900	4.1948176
1910	4.1948107
1920	4.1948041
1930	4.1947976
1940	4.1947913
1950	4.1947852
1960	4.1947794
1970	4.1947736
1980	4.1947681
1990	4.1947627
2000	4.1947575
2010	4.1947524
2020	4.1947475
2030	4.1947427
2040	4.1947381
2050	4.1947336
2060	4.1947292
2070	4.194725
2080	4.1947209
2090	4.1947169
2100	4.194713
2110	4.1947093
2120	4.1947056
2130	4.1947021
2140	4.1946986
2150	4.1946953
2160	4.1946921
2170	4.1946889
2180	4.1946859
2190	4.1946829
2200	4.1946801
2210	4.1946773
2220	4.1946746
2230	4.194672
2240	4.1946694
2250	4.1946669
2260	4.1946645
2270	4.1946622
2280	4.1946599
2290	4.1946577
2300	4.1946556
2310	4.1946535
2320	4.1946515
2330	4.1946496
2340	4.1946477
2350	4.1946459
2360	4.1946441
2370	4.1946423
2380	4.1946407
2390	4.194639
2400	4.1946375
2410	4.1946359
2420	4.1946344
2430	4.194633
2440	4.1946316
2450	4.1946302
2460	4.1946289
2470	4.1946276
2480	4.1946263
2490	4.1946251
2500	4.1946239
2510	4.1946228
2520	4.1946217
2530	4.1946206
2540	4.1946196
2550	4.1946186
2560	4.1946176
2570	4.1946166
2580	4.1946157
2590	4.1946148
2600	4.1946139
2610	4.1946131
2620	4.1946122
2630	4.1946114
2640	4.1946107
2650	4.1946099
2660	4.1946092
2670	4.1946085
2680	4.1946078
2690	4.1946071
2700	4.1946064
2710	4.1946058
2720	4.1946052
2730	4.1946046
2740	4.194604
2750	4.1946035
2760	4.1946029
2770	4.1946024
2780	4.1946019
2790	4.1946014
2800	4.1946009
2810	4.1946004
2820	4.1946
2830	4.1945995
2840	4.1945991
2850	4.1945987
2860	4.1945983
2870	4.1945979
2880	4.1945975
2890	4.1945971
2900	4.1945968
2910	4.1945964
2920	4.1945961
2930	4.1945957
2940	4.1945954
2950	4.1945951
2960	4.1945948
2970	4.1945945
2980	4.1945942
2990	4.1945939
3000	4.1945937
3010	4.1945934
3020	4.1945932
3030	4.1945929
3040	4.1945927
3050	4.1945925
3060	4.1945922
3070	4.194592
3080	4.1945918
3090	4.1945916
3100	4.1945914
3110	4.1945912
3120	4.194591
3130	4.1945908
3140	4.1945907
3150	4.1945905
3160	4.1945903
3170	4.1945902
3180	4.19459
3190	4.1945898
3200	4.1945897
3210	4.1945895
3220	4.1945894
3230	4.1945893
3240	4.1945891
3250	4.194589
3260	4.1945889
3270	4.1945888
3280	4.1945887
3290	4.1945885
3300	4.1945884
3310	4.1945883
3320	4.1945882
3330	4.1945881
3340	4.194588
3350	4.1945879
3360	4.1945878
3370	4.1945877
3380	4.1945876
3390	4.1945876
3400	4.1945875
3410	4.1945874
3420	4.1945873
3430	4.1945873
3440	4.1945872
3450	4.1945871
3460	4.194587
3470	4.194587
3480	4.1945869
3490	4.1945868
3500	4.1945868
