t(s)	total_voltage(V)
0	4.1809414
0.1	4.0895852
0.15	4.0892777
0.25	4.0886761
0.45	4.0875335
0.85	4.0854825
1.65	4.0821166
3.25	4.0771514
6.45	4.070344
12.85	4.0610662
22.85	4.0508908
32.85	4.0433598
42.85	4.0375037
52.85	4.0326714
62.85	4.0285576
72.85	4.0250578
82.85	4.0220717
92.85	4.0194758
102.85	4.0171941
112.85	4.0151972
122.85	4.0134511
132.85	4.011911
142.85	4.0105439
152.85	4.0093324
162.85	4.0082616
172.85	4.0073137
182.85	4.0064721
192.85	4.0057239
202.85	4.0050589
212.85	4.0044677
222.85	4.0039408
232.85	4.0034684
242.85	4.0030427
252.85	4.0026572
262.85	4.0023058
272.85	4.0019825
282.85	4.0016817
292.85	4.001399
302.85	4.0011308
312.85	4.000874
322.85	4.0006251
332.85	4.0003812
342.85	4.00014
352.85	3.9998998
362.85	3.9996587
372.85	3.9994143
382.85	3.9991647
392.85	3.9989088
402.85	3.9986453
412.85	3.9983721
422.85	3.9980877
432.85	3.9977909
442.85	3.9974807
452.85	3.9971556
462.85	3.9968139
472.85	3.9964549
482.85	3.9960776
492.85	3.995681
502.85	3.995264
512.85	3.9948257
522.85	3.9943657
532.85	3.9938834
542.85	3.9933781
552.85	3.9928494
562.85	3.992297
572.85	3.9917207
582.85	3.9911204
592.85	3.9904958
602.85	3.9898472
612.85	3.9891745
622.85	3.9884778
632.85	3.9877574
642.85	3.9870135
652.85	3.9862464
662.85	3.9854564
672.85	3.984644
682.85	3.9838095
692.85	3.9829535
702.85	3.9820763
712.85	3.9811786
722.85	3.9802607
732.85	3.9793234
742.85	3.978367
752.85	3.9773923
762.85	3.9763999
772.85	3.9753902
782.85	3.9743639
792.85	3.9733217
802.85	3.9722641
812.85	3.9711918
822.85	3.9701053
832.85	3.9690054
842.85	3.9678925
852.85	3.9667674
862.85	3.9656306
872.85	3.9644827
882.85	3.9633243
892.85	3.9621561
902.85	3.9609785
912.85	3.9597922
922.85	3.9585977
932.85	3.9573956
942.85	3.9561864
952.85	3.9549706
962.85	3.9537487
972.85	3.9525213
982.85	3.9512888
992.85	3.9500518
1000	3.9491647
1010	3.9479209
1020	3.9466737
1030	3.9454236
1040	3.944171
1050	3.9429163
1060	3.94166
