t(s)	total_voltage(V)
0	4.0363479
0.1	3.9958283
0.3	3.9923126
0.7	3.9860243
1.5	3.9759754
3.1	3.9620157
6.3	3.9446701
12.7	3.9242336
19.1	3.9116231
25.5	3.9030462
38.3	3.8914995
51.1	3.8835372
63.9	3.8772387
76.7	3.871568
102.3	3.8595847
127.9	3.8463211
153.5	3.8323498
204.7	3.8036935
294.7	3.7596459
384.7	3.7239311
474.7	3.6893388
564.7	3.6516077
654.7	3.6101035
744.7	3.5666763
834.7	3.5252065
924.7	3.4894803
1000	3.4653827
1090	3.4401669
1180	3.4152849
1270	3.3891451
1360	3.3614473
1450	3.3322166
1540	3.3013423
1630	3.2685947
1720	3.2334855
1810	3.1959512
1900	3.1547117
1990	3.1033892
2000	3.0966666
2090	3.012118
2180	2.8820073
2270	2.7163448
2360	2.2872137
