t(s)	total_voltage(V)
0	3.9828892
0.1	3.9047728
0.2	3.9012352
0.4	3.894597
0.8	3.8831002
1.6	3.8657817
3.2	3.8443375
6.4	3.822431
9.6	3.8098087
16	3.7888499
22.4	3.7662235
28.8	3.7414794
35.2	3.7150382
41.6	3.6871798
48	3.658825
54.4	3.6312424
60.8	3.6051021
67.2	3.5805288
73.6	3.5577641
80	3.5369317
86.4	3.5175163
92.8	3.4987792
99.2	3.4802911
105.6	3.4618593
112	3.4433608
118.4	3.4247001
124.8	3.4058556
131.2	3.3870318
137.6	3.3685791
144	3.3506818
150.4	3.3333446
156.8	3.3166027
163.2	3.3004972
169.6	3.2849461
176	3.2698054
182.4	3.2549902
188.8	3.2404727
195.2	3.2262271
201.6	3.212212
208	3.198382
214.4	3.1847183
220.8	3.1712437
227.2	3.1579723
233.6	3.1448652
240	3.1318906
246.4	3.1190855
252.8	3.1064836
259.2	3.0940365
265.6	3.0816952
272	3.0694967
278.4	3.0574725
284.8	3.045556
291.2	3.0336808
