t(s)	total_voltage(V)
0	4.1809414
0.05	4.0366052
0.1	4.0359879
0.2	4.0347801
0.4	4.0324878
0.8	4.0283918
1.6	4.0217571
3.2	4.0122109
6.4	3.9996225
12.8	3.9834416
25.6	3.9636562
38.4	3.9520268
51.2	3.945051
64	3.9406406
89.6	3.9352737
115.2	3.9318596
140.8	3.9289885
166.4	3.9257909
217.6	3.9167302
268.8	3.9042923
320	3.889873
410	3.8630959
500	3.8378243
590	3.8152571
680	3.7946788
770	3.7744491
860	3.7533941
950	3.7311338
1000	3.7181567
1090	3.6933772
1180	3.6664021
1270	3.6375437
1360	3.6094395
1450	3.584422
1540	3.5623207
1630	3.542722
1720	3.5251958
1810	3.5087544
1900	3.4924556
1990	3.4760289
2000	3.4742058
2090	3.4573887
2180	3.4397849
2270	3.4211948
2360	3.4013197
2450	3.3797369
2540	3.3561458
2630	3.3311997
2720	3.3065415
2810	3.2825219
2900	3.257299
2990	3.2280038
3080	3.1884899
3170	3.1236264
3260	3.0368751
3350	2.9479858
3440	2.8273332
3530	2.5972319
3620	2.0964052
