t(s)	total_voltage(V)
0	4.1809414
0.1	4.1582163
0.2	4.1580868
0.4	4.1578414
0.8	4.1574014
1.6	4.1566766
3.2	4.1555959
6.4	4.1540866
12.8	4.1519712
22.8	4.1495573
32.8	4.1476825
42.8	4.1461466
52.8	4.1448041
62.8	4.1435884
72.8	4.1424842
82.8	4.1414733
92.8	4.140527
102.8	4.1396302
112.8	4.1387821
122.8	4.1379775
132.8	4.1372046
142.8	4.1364574
152.8	4.1357359
162.8	4.1350382
172.8	4.13436
182.8	4.1336988
192.8	4.1330539
202.8	4.1324243
212.8	4.1318084
222.8	4.1312051
232.8	4.1306136
242.8	4.1300333
252.8	4.1294633
262.8	4.1289032
272.8	4.1283524
282.8	4.1278103
292.8	4.1272765
302.8	4.1267507
312.8	4.1262325
322.8	4.1257216
332.8	4.1252175
342.8	4.1247201
352.8	4.1242291
362.8	4.1237443
372.8	4.1232654
382.8	4.1227922
392.8	4.1223246
402.8	4.1218623
412.8	4.1214052
422.8	4.120953
432.8	4.1205057
442.8	4.1200632
452.8	4.1196252
462.8	4.1191917
472.8	4.1187626
482.8	4.1183377
492.8	4.1179169
502.8	4.1175001
512.8	4.1170872
522.8	4.1166783
532.8	4.1162731
542.8	4.1158715
552.8	4.1154736
562.8	4.1150792
572.8	4.1146882
582.8	4.1143006
592.8	4.1139163
602.8	4.1135353
612.8	4.1131576
622.8	4.112783
632.8	4.1124115
642.8	4.112043
652.8	4.1116775
662.8	4.111315
672.8	4.1109554
682.8	4.1105986
692.8	4.1102447
702.8	4.1098936
712.8	4.1095452
722.8	4.1091996
732.8	4.1088566
742.8	4.1085163
752.8	4.1081785
762.8	4.1078433
772.8	4.1075108
782.8	4.1071807
792.8	4.1068532
802.8	4.1065281
812.8	4.1062054
822.8	4.1058851
832.8	4.1055673
842.8	4.1052518
852.8	4.1049387
862.8	4.1046279
872.8	4.1043194
882.8	4.1040132
892.8	4.1037093
902.8	4.1034076
912.8	4.1031082
922.8	4.1028109
932.8	4.1025159
