t(s)	total_voltage(V)
0	4.10351
0.1	4.0896374
0.3	4.0884413
0.7	4.0862794
1.5	4.0827389
3.1	4.0775814
6.3	4.0706359
12.7	4.0612909
25.5	4.0486312
51.1	4.0327226
102.3	4.0160653
153.5	4.0084172
204.7	4.0048176
255.9	4.0026757
345.9	4.0002279
435.9	3.9978174
525.9	3.9942967
615.9	3.9890446
705.9	3.9818989
795.9	3.9730865
885.9	3.9630568
975.9	3.9522589
1000	3.9492777
1090	3.9379946
1180	3.9266826
1270	3.9155464
1360	3.9047042
1450	3.8941982
1540	3.8839992
1630	3.874007
1720	3.8640682
1810	3.8540277
1900	3.8437725
1990	3.833223
2000	3.8320293
2090	3.8210539
2180	3.8095707
2270	3.7974203
2360	3.7844693
2450	3.7708192
2540	3.756995
2630	3.7436228
2720	3.7309052
2810	3.7186672
2900	3.7066584
2990	3.6947026
3080	3.6827502
3170	3.6708727
3260	3.6591967
3350	3.6478444
3440	3.6369209
3530	3.6265005
3620	3.6165999
3710	3.607182
3800	3.5981831
3890	3.589523
3980	3.5811026
4000	3.5792529
4090	3.5709882
4180	3.5627526
4270	3.5544597
4360	3.5460298
4450	3.5373863
4540	3.5284498
4630	3.519132
4720	3.5093347
4810	3.4989545
4900	3.4878991
4990	3.4761217
5080	3.4636725
5170	3.450734
5260	3.4376047
5350	3.4246234
5440	3.4120722
5530	3.4001049
5620	3.3887147
5710	3.3777296
5800	3.3668162
5890	3.3554798
5980	3.3430479
6070	3.3285842
6160	3.3106664
6250	3.2871792
6340	3.2559574
6430	3.216935
6520	3.1733384
6610	3.1292182
6700	3.0857007
6790	3.0397194
6880	2.9849907
6970	2.9127445
7060	2.8110429
7150	2.6628077
7240	2.4426953
