t(s)	total_voltage(V)
0	4.1809414
0.05	4.0365515
0.1	4.0359338
0.2	4.0347255
0.4	4.0324325
0.8	4.0283352
1.6	4.0216985
3.2	4.0121491
6.4	3.9995554
12.8	3.9833652
22.8	3.9671542
32.8	3.9565521
42.8	3.9494379
52.8	3.9444922
62.8	3.9409553
72.8	3.9383785
82.8	3.9364389
92.8	3.9348781
102.8	3.933518
112.8	3.9322758
122.8	3.9311137
132.8	3.9299759
142.8	3.9287976
152.8	3.9275473
162.8	3.9262164
172.8	3.9247829
182.8	3.9232175
192.8	3.9215111
202.8	3.9196691
212.8	3.9176922
222.8	3.9155772
232.8	3.9133314
242.8	3.9109691
252.8	3.9085001
262.8	3.9059315
272.8	3.9032749
282.8	3.9005446
292.8	3.8977509
302.8	3.8949017
312.8	3.8920072
322.8	3.8890791
332.8	3.8861258
342.8	3.8831527
352.8	3.8801675
362.8	3.8771787
372.8	3.8741924
382.8	3.8712118
392.8	3.8682413
402.8	3.8652873
412.8	3.8623536
422.8	3.8594415
432.8	3.8565533
442.8	3.8536928
452.8	3.8508628
462.8	3.8480629
472.8	3.8452938
482.8	3.8425578
492.8	3.8398562
502.8	3.837188
512.8	3.8345526
522.8	3.8319511
532.8	3.8293836
542.8	3.8268488
552.8	3.8243452
562.8	3.8218725
572.8	3.8194302
582.8	3.8170164
592.8	3.8146289
602.8	3.8122665
612.8	3.8099275
622.8	3.8076097
632.8	3.8053101
642.8	3.8030267
652.8	3.8007571
662.8	3.7984987
672.8	3.7962483
682.8	3.7940036
692.8	3.7917623
702.8	3.7895219
712.8	3.7872801
722.8	3.7850349
732.8	3.7827847
742.8	3.7805282
752.8	3.7782637
762.8	3.7759901
772.8	3.7737068
782.8	3.7714129
792.8	3.7691077
802.8	3.7667904
812.8	3.7644609
822.8	3.7621186
832.8	3.7597631
842.8	3.7573939
852.8	3.7550107
862.8	3.7526133
872.8	3.7502012
882.8	3.7477739
892.8	3.7453311
902.8	3.7428725
912.8	3.7403975
922.8	3.7379056
932.8	3.7353965
942.8	3.7328696
952.8	3.7303243
962.8	3.72776
972.8	3.7251762
982.8	3.7225724
992.8	3.7199477
1000	3.7180448
1010	3.7153829
1020	3.7126985
1030	3.7099909
1040	3.7072593
1050	3.7045031
1060	3.7017216
1070	3.6989142
1080	3.6960802
1090	3.6932189
1100	3.69033
1110	3.6874128
1120	3.6844669
1130	3.6814921
1140	3.6784881
1150	3.6754552
1160	3.6723935
1170	3.6693037
1180	3.6661867
1190	3.663044
1200	3.6598777
1210	3.6566901
1220	3.6534846
1230	3.6502649
1240	3.6470356
1250	3.6438015
1260	3.6405679
1270	3.6373403
1280	3.6341242
1290	3.6309248
1300	3.6277468
1310	3.6245946
1320	3.6214718
1330	3.6183813
1340	3.6153256
1350	3.6123064
1360	3.6093249
1370	3.6063821
1380	3.6034783
1390	3.6006138
1400	3.5977887
1410	3.5950028
1420	3.5922558
1430	3.5895474
1440	3.5868773
1450	3.584245
1460	3.5816501
1470	3.5790922
1480	3.5765706
1490	3.574085
1500	3.5716348
1510	3.5692193
1520	3.5668379
1530	3.5644901
1540	3.562175
1550	3.5598919
1560	3.5576402
1570	3.5554188
1580	3.5532269
1590	3.5510637
1600	3.5489281
1610	3.5468192
1620	3.5447358
1630	3.5426771
1640	3.5406418
1650	3.5386288
1660	3.5366371
1670	3.5346654
1680	3.5327127
1690	3.5307777
1700	3.5288593
1710	3.5269564
1720	3.5250678
1730	3.5231923
1740	3.521329
1750	3.5194766
1760	3.5176341
1770	3.5158005
1780	3.5139748
1790	3.512156
1800	3.5103431
1810	3.5085352
1820	3.5067315
1830	3.5049311
1840	3.5031333
1850	3.5013372
1860	3.4995421
1870	3.4977474
1880	3.4959524
1890	3.4941564
1900	3.4923589
1910	3.4905593
1920	3.4887571
1930	3.4869517
1940	3.4851428
1950	3.4833298
1960	3.4815123
1970	3.4796899
1980	3.4778622
1990	3.4760288
2000	3.4741894
2010	3.4723436
2020	3.4704911
2030	3.4686315
2040	3.4667646
2050	3.46489
2060	3.4630075
2070	3.4611166
2080	3.4592172
2090	3.457309
2100	3.4553915
2110	3.4534647
2120	3.451528
2130	3.4495814
2140	3.4476243
2150	3.4456566
2160	3.4436779
2170	3.4416879
2180	3.4396862
2190	3.4376726
2200	3.4356465
2210	3.4336078
2220	3.4315559
2230	3.4294905
2240	3.4274112
2250	3.4253175
2260	3.4232089
2270	3.421085
2280	3.4189454
2290	3.4167894
2300	3.4146165
2310	3.4124263
2320	3.410218
2330	3.4079911
2340	3.405745
2350	3.4034791
2360	3.4011926
2370	3.398885
2380	3.3965557
2390	3.3942039
2400	3.3918291
2410	3.3894306
2420	3.3870079
2430	3.3845605
2440	3.382088
2450	3.37959
2460	3.3770664
2470	3.374517
2480	3.3719421
2490	3.3693419
2500	3.3667169
2510	3.364068
2520	3.3613962
2530	3.3587028
2540	3.3559894
2550	3.3532579
2560	3.3505103
2570	3.3477492
2580	3.3449769
2590	3.3421962
2600	3.3394099
2610	3.3366207
2620	3.3338314
2630	3.3310446
2640	3.3282626
2650	3.3254877
2660	3.3227218
2670	3.3199663
2680	3.3172225
2690	3.314491
2700	3.311772
2710	3.3090655
2720	3.3063708
2730	3.3036869
2740	3.3010122
2750	3.2983449
2760	3.2956829
2770	3.2930234
2780	3.2903639
2790	3.2877012
2800	3.2850322
2810	3.2823534
2820	3.2796614
2830	3.2769526
2840	3.2742234
2850	3.2714701
2860	3.2686888
2870	3.2658758
2880	3.263027
2890	3.2601384
2900	3.2572056
2910	3.2542241
2920	3.2511891
2930	3.2480954
2940	3.2449373
2950	3.2417087
2960	3.2384025
2970	3.235011
2980	3.2315253
2990	3.2279356
3000	3.2242302
3010	3.2203961
3020	3.2164179
3030	3.2122782
3040	3.2079566
3050	3.2034301
3060	3.1986727
3070	3.1936552
3080	3.1883461
3090	3.1827129
3100	3.1767232
3110	3.1703482
3120	3.1635649
3130	3.1563594
3140	3.1487299
3150	3.1406876
3160	3.1322565
3170	3.1234731
3180	3.1143832
3190	3.1050386
3200	3.0954944
3210	3.0858057
3220	3.076024
3230	3.0661951
3240	3.0563562
3250	3.0465347
3260	3.0367473
3270	3.0269991
3280	3.0172836
3290	3.0075837
3300	2.9978722
3310	2.9881124
3320	2.9782594
3330	2.9682606
3340	2.9580572
3350	2.9475834
3360	2.9367677
3370	2.9255325
3380	2.913795
3390	2.9014654
3400	2.8884482
3410	2.8746408
3420	2.8599337
3430	2.8442092
3440	2.8273411
3450	2.8091932
3460	2.7896193
3470	2.7684607
3480	2.7455446
3490	2.7206853
3500	2.6936795
3510	2.664306
3520	2.6323224
3530	2.5974645
3540	2.5594433
3550	2.5179417
3560	2.4726111
