x	t=0	t=1000	t=2000	t=3620
0	1000	1868.8126	1844.8008	1898.2992
2.937931	1000	1866.125	1842.2598	1895.2588
5.8758621	1000	1858.1118	1834.6838	1886.2035
8.8137931	1000	1844.9202	1822.2122	1871.3278
11.751724	1000	1826.7909	1805.0714	1850.9478
14.689655	1000	1804.0488	1783.5656	1825.4927
17.627586	1000	1777.0896	1758.0632	1795.4879
20.565517	1000	1746.3608	1728.9789	1761.5241
23.503448	1000	1712.3396	1696.7535	1724.2233
26.441379	1000	1675.5095	1661.8333	1684.204
29.37931	1000	1636.3394	1624.6513	1642.0517
32.317241	1000	1595.267	1585.6123	1598.2967
35.255172	1000	1552.6882	1545.0829	1553.4014
38.193103	1000	1508.9521	1503.3865	1507.7563
41.131034	1000	1464.3618	1460.8015	1461.6815
44.068966	1000	1419.178	1417.5639	1415.4339
47.006897	1000	1373.6254	1373.8714	1369.2148
49.944828	1000	1327.9	1329.8881	1323.1796
52.882759	1000	1282.1751	1285.7507	1277.4455
55.82069	1000	1236.606	1241.574	1232.0993
58.758621	1000	1191.331	1197.4562	1187.2035
61.696552	1000	1146.4712	1153.4839	1142.8019
64.634483	1000	1102.127	1109.7361	1098.9237
67.572414	1000	1058.376	1066.2877	1055.5866
70.510345	1000	1015.271	1023.2106	1012.7998
73.448276	1000	972.84031	980.57467	970.5659
76.386207	1000	931.09026	938.44593	928.88262
79.324138	1000	890.00875	896.88485	887.74396
82.262069	1000	849.56948	855.94402	847.14124
85.2	1000	809.73585	815.66672	807.06393
85.613793	1000	806.54077	812.43729	803.83753
86.027586	1000	804.41572	810.28751	801.68465
86.441379	1000	802.29568	808.14292	799.53692
86.855172	1000	800.18064	806.00349	797.39432
87.268966	1000	798.07056	803.86918	795.25682
87.682759	1000	795.96541	801.73998	793.1244
88.096552	1000	793.86517	799.61585	790.99702
88.510345	1000	791.76981	797.49676	788.87466
88.924138	1000	789.6793	795.38268	786.7573
89.337931	1000	787.59362	793.27359	784.6449
89.751724	1000	785.51273	791.16946	782.53745
90.165517	1000	783.43661	789.07026	780.43491
90.57931	1000	781.36524	786.97595	778.33726
90.993103	1000	779.29859	784.88653	776.24448
91.406897	1000	777.23662	782.80195	774.15654
91.82069	1000	775.17933	780.72219	772.07342
92.234483	1000	773.12667	778.64722	769.99509
92.648276	1000	771.07863	776.57702	767.92152
93.062069	1000	769.03518	774.51157	765.8527
93.475862	1000	766.9963	772.45083	763.7886
93.889655	1000	764.96196	770.39478	761.72919
94.303448	1000	762.93213	768.34339	759.67445
94.717241	1000	760.9068	766.29664	757.62437
95.131034	1000	758.88593	764.25451	755.5789
95.544828	1000	756.86951	762.21696	753.53804
95.958621	1000	754.85751	760.18398	751.50176
96.372414	1000	752.84991	758.15554	749.47003
96.786207	1000	750.84668	756.13162	747.44284
97.2	1000	748.32172	753.58229	744.89355
99.806897	1000	727.96772	733.06251	724.38177
102.41379	1000	708.75754	713.72739	705.00706
105.02069	1000	690.62589	695.5048	686.70607
107.62759	1000	673.51461	678.33078	669.42233
110.23448	1000	657.37173	662.14837	653.1054
112.84138	1000	642.15064	646.90668	637.71004
115.44828	1000	627.80946	632.56014	623.19561
118.05517	1000	614.31043	619.06782	609.52547
120.66207	1000	601.61948	606.39291	596.66658
123.26897	1000	589.70579	594.50225	584.58906
125.87586	1000	578.54148	583.36593	573.26588
128.48276	1000	568.10127	572.95699	562.67255
131.08966	1000	558.3623	563.25108	552.78691
133.69655	1000	549.30385	554.22625	543.58887
136.30345	1000	540.90718	545.86275	535.06026
138.91034	1000	533.15537	538.14279	527.18466
141.51724	1000	526.03316	531.05047	519.94724
144.12414	1000	519.52686	524.57154	513.33467
146.73103	1000	513.62422	518.69339	507.335
149.33793	1000	508.31437	513.40485	501.93756
151.94483	1000	503.58767	508.69617	497.1329
154.55172	1000	499.43574	504.55893	492.9127
157.15862	1000	495.85133	500.98596	489.26971
159.76552	1000	492.82827	497.9713	486.19773
162.37241	1000	490.36147	495.51015	483.69154
164.97931	1000	488.44686	493.59886	481.74685
167.58621	1000	487.08134	492.23487	480.36031
170.1931	1000	486.26281	491.4167	479.52945
172.8	1000	485.99008	491.14395	479.25269
