r(x_rel=1)	t=0	t=1000	t=2000	t=3620
0	17038	20598.545	30047.592	46142.977
0.18	17038	20643.544	30101.094	46196.861
0.36	17038	20688.611	30154.597	46250.748
0.54	17038	20751.851	30229.506	46326.191
0.72	17038	20835.996	30328.881	46426.276
0.9	17038	20942.118	30453.747	46552.031
1.08	17038	21070.871	30604.572	46703.93
1.26	17038	21222.78	30781.612	46882.232
1.44	17038	21398.325	30985.025	47087.094
1.62	17038	21597.979	31214.913	47318.623
1.8	17038	21822.221	31471.35	47576.898
1.98	17038	22071.535	31754.387	47861.978
2.16	17038	22346.413	32064.065	48173.913
2.34	17038	22647.347	32400.415	48512.743
2.52	17038	22974.826	32763.459	48878.507
2.7	17038	23329.332	33153.214	49271.238
2.88	17038	23711.326	33569.693	49690.963
3.06	17038	24121.253	34012.904	50137.704
3.24	17038	24559.529	34482.85	50611.473
3.42	17038	25026.539	34979.529	51112.273
3.6	17038	25522.633	35502.934	51640.093
3.78	17038	26048.125	36053.047	52194.91
3.96	17038	26603.289	36629.849	52776.693
4.14	17038	27188.359	37233.308	53385.417
4.32	17038	27803.532	37863.395	54021.081
4.5	17038	28448.965	38520.08	54683.738
4.68	17038	29124.778	39203.349	55373.537
4.86	17038	29831.056	39913.215	56090.755
5.04	17038	30567.85	40649.723	56835.82
5.22	17038	31334.998	41412.778	57609.09
