x	t=0	t=1000	t=2000	t=3620
0	0	0	0	0
2.937931	0	-8.3007187e-05	-7.9186179e-05	-9.2618205e-05
5.8758621	0	-0.00033124191	-0.00031598157	-0.00036933338
8.8137931	0	-0.00074235959	-0.00070811884	-0.00082676674
11.751724	0	-0.0013125122	-0.0012518965	-0.001459396
14.689655	0	-0.0020364628	-0.0019423104	-0.0022596442
17.627586	0	-0.0029077851	-0.0027732601	-0.0032181214
20.565517	0	-0.0039191568	-0.0037378331	-0.00432411
23.503448	0	-0.0050627294	-0.0048286466	-0.0055661635
26.441379	0	-0.0063305345	-0.0060382168	-0.0069327216
29.37931	0	-0.0077148734	-0.0073593121	-0.0084126874
32.317241	0	-0.0092086415	-0.008785255	-0.0099958896
35.255172	0	-0.010805553	-0.010310149	-0.011673396
38.193103	0	-0.012500255	-0.011929025	-0.013437681
41.131034	0	-0.014288329	-0.013637903	-0.015282658
44.068966	0	-0.016166197	-0.015433802	-0.017203636
47.006897	0	-0.018130964	-0.017314691	-0.019197216
49.944828	0	-0.020180207	-0.019279408	-0.021261176
52.882759	0	-0.022311779	-0.021327561	-0.023394343
55.82069	0	-0.024523673	-0.023459401	-0.025596498
58.758621	0	-0.026813993	-0.025675692	-0.02786828
61.696552	0	-0.029181075	-0.027977563	-0.03021112
64.634483	0	-0.031623719	-0.030366365	-0.03262719
67.572414	0	-0.034141505	-0.032843542	-0.035119387
70.510345	0	-0.0367351	-0.035410544	-0.03769133
73.448276	0	-0.039406521	-0.038068812	-0.040347372
76.386207	0	-0.042159311	-0.040819855	-0.043092642
79.324138	0	-0.044998635	-0.04366541	-0.045933109
82.262069	0	-0.047931343	-0.046607645	-0.048875665
85.2	0	-0.050966034	-0.049649382	-0.051928234
85.613793	0	-0.051216439	-0.049900198	-0.05218073
86.027586	0	-0.051383729	-0.050067835	-0.052349718
86.441379	0	-0.051551076	-0.050235526	-0.052518767
86.855172	0	-0.051718484	-0.050403272	-0.052687878
87.268966	0	-0.051885953	-0.050571074	-0.052857054
87.682759	0	-0.052053484	-0.050738934	-0.053026294
88.096552	0	-0.052221079	-0.050906852	-0.0531956
88.510345	0	-0.052388738	-0.051074831	-0.053364974
88.924138	0	-0.052556464	-0.05124287	-0.053534416
89.337931	0	-0.052724258	-0.051410973	-0.053703928
89.751724	0	-0.052892121	-0.051579139	-0.053873511
90.165517	0	-0.053060053	-0.051747371	-0.054043167
90.57931	0	-0.053228058	-0.051915669	-0.054212896
90.993103	0	-0.053396135	-0.052084035	-0.0543827
91.406897	0	-0.053564286	-0.05225247	-0.05455258
91.82069	0	-0.053732512	-0.052420976	-0.054722537
92.234483	0	-0.053900815	-0.052589554	-0.054892572
92.648276	0	-0.054069196	-0.052758204	-0.055062688
93.062069	0	-0.054237656	-0.052926929	-0.055232884
93.475862	0	-0.054406196	-0.05309573	-0.055403162
93.889655	0	-0.054574818	-0.053264607	-0.055573524
94.303448	0	-0.054743523	-0.053433563	-0.05574397
94.717241	0	-0.054912313	-0.053602598	-0.055914502
95.131034	0	-0.055081188	-0.053771714	-0.056085121
95.544828	0	-0.05525015	-0.053940912	-0.056255829
95.958621	0	-0.055419199	-0.054110194	-0.056426626
96.372414	0	-0.055588339	-0.05427956	-0.056597513
96.786207	0	-0.055757569	-0.054449012	-0.056768493
97.2	0	-0.055971413	-0.05466305	-0.056984257
99.806897	0	-0.057721699	-0.056412811	-0.058748806
102.41379	0	-0.059420231	-0.058108113	-0.060462992
105.02069	0	-0.061067094	-0.05974938	-0.062126772
107.62759	0	-0.062662168	-0.061336809	-0.063739894
110.23448	0	-0.064205159	-0.062870402	-0.065301928
112.84138	0	-0.065695618	-0.064349987	-0.066812285
115.44828	0	-0.06713296	-0.065775245	-0.068270236
118.05517	0	-0.068516486	-0.067145725	-0.069674934
120.66207	0	-0.0698454	-0.068460864	-0.071025426
123.26897	0	-0.071118818	-0.069720004	-0.072320672
125.87586	0	-0.072335792	-0.070922404	-0.07355956
128.48276	0	-0.073495317	-0.072067255	-0.074740922
131.08966	0	-0.074596347	-0.073153697	-0.075863546
133.69655	0	-0.075637809	-0.074180825	-0.076926194
136.30345	0	-0.076618612	-0.07514771	-0.077927613
138.91034	0	-0.077537664	-0.076053401	-0.07886655
141.51724	0	-0.078393883	-0.076896947	-0.079741768
144.12414	0	-0.079186205	-0.077677398	-0.080552058
146.73103	0	-0.0799136	-0.078393824	-0.081296251
149.33793	0	-0.080575081	-0.07904532	-0.081973235
151.94483	0	-0.081169714	-0.079631018	-0.082581962
154.55172	0	-0.081696629	-0.080150098	-0.083121464
157.15862	0	-0.08215503	-0.080601794	-0.083590865
159.76552	0	-0.082544203	-0.0809854	-0.083989385
162.37241	0	-0.082863524	-0.081300285	-0.084316356
164.97931	0	-0.083112465	-0.081545892	-0.084571227
167.58621	0	-0.083290603	-0.081721746	-0.084753568
170.1931	0	-0.083397622	-0.081827461	-0.084863082
172.8	0	-0.083433319	-0.081862742	-0.084899603
