x	t=0	t=1000	t=2000	t=3620
0	0.092020002	0.15858528	0.19475181	1.3379535
2.937931	0.092020002	0.15858462	0.19475115	1.3379529
5.8758621	0.092020002	0.15858399	0.19475052	1.3379522
8.8137931	0.092020002	0.15858338	0.19474991	1.3379516
11.751724	0.092020002	0.15858279	0.19474931	1.337951
14.689655	0.092020002	0.15858222	0.19474874	1.3379505
17.627586	0.092020002	0.15858167	0.19474819	1.33795
20.565517	0.092020002	0.15858115	0.19474766	1.3379494
23.503448	0.092020002	0.15858065	0.19474715	1.3379489
26.441379	0.092020002	0.15858017	0.19474667	1.3379485
29.37931	0.092020002	0.15857972	0.1947462	1.337948
32.317241	0.092020002	0.15857928	0.19474576	1.3379476
35.255172	0.092020002	0.15857888	0.19474534	1.3379472
38.193103	0.092020002	0.1585785	0.19474495	1.3379469
41.131034	0.092020002	0.15857814	0.19474458	1.3379465
44.068966	0.092020002	0.15857781	0.19474423	1.3379462
47.006897	0.092020002	0.1585775	0.19474391	1.3379459
49.944828	0.092020002	0.15857722	0.19474361	1.3379456
52.882759	0.092020002	0.15857697	0.19474334	1.3379453
55.82069	0.092020002	0.15857674	0.19474309	1.3379451
58.758621	0.092020002	0.15857653	0.19474287	1.3379449
61.696552	0.092020002	0.15857635	0.19474267	1.3379447
64.634483	0.092020002	0.1585762	0.1947425	1.3379445
67.572414	0.092020002	0.15857606	0.19474235	1.3379444
70.510345	0.092020002	0.15857595	0.19474223	1.3379443
73.448276	0.092020002	0.15857586	0.19474214	1.3379442
76.386207	0.092020002	0.15857579	0.19474206	1.3379441
79.324138	0.092020002	0.15857574	0.19474201	1.3379441
82.262069	0.092020002	0.15857571	0.19474198	1.337944
85.2	0.092020002	0.1585757	0.19474197	1.337944
