x	t=0	t=1000	t=2000	t=3620
97.2	4.2729614	3.8853351	3.6774126	3.4523535
99.806897	4.2729614	3.8853229	3.6773998	3.4523415
102.41379	4.2729614	3.8852861	3.6773616	3.4523054
105.02069	4.2729614	3.8852249	3.6772981	3.4522453
107.62759	4.2729614	3.8851391	3.6772094	3.4521611
110.23448	4.2729614	3.8850289	3.6770957	3.4520527
112.84138	4.2729614	3.8848941	3.676957	3.4519201
115.44828	4.2729614	3.8847349	3.6767936	3.4517632
118.05517	4.2729614	3.8845513	3.6766054	3.4515822
120.66207	4.2729614	3.8843432	3.6763926	3.4513768
123.26897	4.2729614	3.8841107	3.6761553	3.4511471
125.87586	4.2729614	3.8838538	3.6758937	3.4508931
128.48276	4.2729614	3.8835726	3.6756077	3.4506148
131.08966	4.2729614	3.883267	3.6752974	3.4503121
133.69655	4.2729614	3.8829371	3.674963	3.4499851
136.30345	4.2729614	3.8825829	3.6746045	3.4496337
138.91034	4.2729614	3.8822044	3.674222	3.4492579
141.51724	4.2729614	3.8818016	3.6738154	3.4488577
144.12414	4.2729614	3.8813746	3.6733849	3.4484331
146.73103	4.2729614	3.8809234	3.6729305	3.4479841
149.33793	4.2729614	3.880448	3.6724523	3.4475107
151.94483	4.2729614	3.8799484	3.6719501	3.4470129
154.55172	4.2729614	3.8794246	3.6714242	3.4464907
157.15862	4.2729614	3.8788766	3.6708744	3.4459441
159.76552	4.2729614	3.8783045	3.6703007	3.4453731
162.37241	4.2729614	3.8777082	3.6697032	3.4447777
164.97931	4.2729614	3.8770877	3.6690819	3.4441579
167.58621	4.2729614	3.876443	3.6684367	3.4435137
170.1931	4.2729614	3.8757742	3.6677675	3.4428451
172.8	4.2729614	3.8750812	3.6670744	3.4421522
