t(s)	total_voltage(V)
0	4.1809414
0.05	4.0350496
0.1	4.034432
0.2	4.0332239
0.4	4.030931
0.8	4.026834
1.6	4.0201971
3.2	4.0106465
6.4	3.9980489
12.8	3.9818492
25.6	3.962026
38.4	3.9503614
51.2	3.9433557
64	3.9389207
89.6	3.9335158
115.2	3.9300743
140.8	3.9271836
166.4	3.9239713
217.6	3.9148877
268.8	3.9024327
320	3.8879991
410	3.8612001
500	3.8359113
590	3.8133443
680	3.7928332
770	3.7727481
860	3.7517839
950	3.7295111
1000	3.7164959
1090	3.6916182
1180	3.6645334
1270	3.6355911
1360	3.6074374
1450	3.5823848
1540	3.5602728
1630	3.540687
1720	3.5231889
1810	3.5067898
1900	3.4905398
1990	3.4741445
2000	3.4723226
2090	3.4555038
2180	3.4378749
2270	3.4192411
2360	3.3993172
2450	3.3777053
2540	3.3541296
2630	3.3292117
2720	3.3045247
2810	3.2804285
2900	3.2551179
2990	3.2257493
3080	3.1863567
3170	3.1220846
3260	3.0354871
3350	2.9467065
3440	2.8269204
3530	2.5991911
3620	2.1041987
