x	t=0	t=1000	t=2000	t=3620
0	1000	1868.57	1844.1102	1895.8109
2.937931	1000	1865.884	1841.574	1892.7893
5.8758621	1000	1857.8754	1834.0122	1883.7894
8.8137931	1000	1844.6913	1821.5635	1869.0031
11.751724	1000	1826.572	1804.4537	1848.7428
14.689655	1000	1803.8421	1782.9857	1823.4333
17.627586	1000	1776.8966	1757.5266	1793.5938
20.565517	1000	1746.1827	1728.4895	1759.809
23.503448	1000	1712.1767	1696.3138	1722.6943
26.441379	1000	1675.3618	1661.4442	1682.8625
29.37931	1000	1636.2065	1624.3125	1640.8945
32.317241	1000	1595.1479	1585.3224	1597.3171
35.255172	1000	1552.5819	1544.8397	1552.5903
38.193103	1000	1508.8574	1503.1872	1507.103
41.131034	1000	1464.2776	1460.643	1461.1751
44.068966	1000	1419.1034	1417.443	1415.0631
47.006897	1000	1373.5597	1373.7849	1368.9692
49.944828	1000	1327.8429	1329.8329	1323.0491
52.882759	1000	1282.1268	1285.7241	1277.4209
55.82069	1000	1236.567	1241.5735	1232.1722
58.758621	1000	1191.3023	1197.4798	1187.3663
61.696552	1000	1146.454	1153.5302	1143.0477
64.634483	1000	1102.1226	1109.8043	1099.2463
67.572414	1000	1058.3856	1066.3774	1055.9803
70.510345	1000	1015.2954	1023.3222	1013.2595
73.448276	1000	972.88034	980.70897	971.08704
76.386207	1000	931.14629	938.60415	929.46101
79.324138	1000	890.08095	897.06842	888.37576
82.262069	1000	849.65781	856.15443	847.82298
85.2	1000	809.8401	815.9054	807.79248
85.613793	1000	806.64519	812.67625	804.56676
86.027586	1000	804.51986	810.52592	802.41342
86.441379	1000	802.39956	808.3808	800.26524
86.855172	1000	800.28424	806.24083	798.12218
87.268966	1000	798.17389	804.106	795.98422
87.682759	1000	796.06848	801.97626	793.85133
88.096552	1000	793.96798	799.85161	791.72348
88.510345	1000	791.87235	797.73199	789.60065
88.924138	1000	789.78158	795.6174	787.48281
89.337931	1000	787.69563	793.50779	785.36994
89.751724	1000	785.61449	791.40314	783.26201
90.165517	1000	783.53811	789.30343	781.15899
90.57931	1000	781.46649	787.20861	779.06087
90.993103	1000	779.39958	785.11868	776.9676
91.406897	1000	777.33736	783.0336	774.87917
91.82069	1000	775.27981	780.95334	772.79556
92.234483	1000	773.22691	778.87787	770.71674
92.648276	1000	771.17862	776.80718	768.64268
93.062069	1000	769.13493	774.74123	766.57336
93.475862	1000	767.0958	772.67999	764.50876
93.889655	1000	765.06121	770.62345	762.44885
94.303448	1000	763.03114	768.57158	760.39361
94.717241	1000	761.00557	766.52435	758.34302
95.131034	1000	758.98446	764.48173	756.29705
95.544828	1000	756.9678	762.4437	754.25567
95.958621	1000	754.95557	760.41025	752.21888
96.372414	1000	752.94773	758.38133	750.18664
96.786207	1000	750.94426	756.35693	748.15893
97.2	1000	748.41901	753.80701	745.60879
99.806897	1000	728.06273	733.28242	725.08867
102.41379	1000	708.85046	713.94289	705.7063
105.02069	1000	690.7169	695.71627	687.39824
107.62759	1000	673.60385	678.53854	670.10796
110.23448	1000	657.45935	662.35272	653.78497
112.84138	1000	642.23677	647.10789	638.38399
115.44828	1000	627.89421	632.75845	623.86433
118.05517	1000	614.39392	619.26345	610.18934
120.66207	1000	601.7018	606.58608	597.32594
123.26897	1000	589.78703	594.69314	585.24422
125.87586	1000	578.62172	583.55472	573.91713
128.48276	1000	568.1806	573.14385	563.32019
131.08966	1000	558.44079	563.43616	553.43118
133.69655	1000	549.38157	554.40969	544.23004
136.30345	1000	540.98419	546.04469	535.69856
138.91034	1000	533.23173	538.32337	527.82032
141.51724	1000	526.10893	531.22979	520.58048
144.12414	1000	519.6021	524.74974	513.96571
146.73103	1000	513.69899	518.87056	507.96405
149.33793	1000	508.38871	513.58111	502.56483
151.94483	1000	503.66164	508.87163	497.75858
154.55172	1000	499.50938	504.73369	493.53698
157.15862	1000	495.92468	501.16012	489.89279
159.76552	1000	492.90139	498.14495	486.8198
162.37241	1000	490.4344	495.68339	484.31278
164.97931	1000	488.51964	493.77178	482.36745
167.58621	1000	487.15402	492.40756	480.98045
170.1931	1000	486.33542	491.58925	480.14932
172.8	1000	486.06267	491.31646	479.87247
