r(x_rel=0)	t=0	t=1000	t=2000	t=3620
0	29866	24274.579	17009.198	2249.3943
0.20206897	29866	24268.992	17003.63	2241.197
0.40413793	29866	24263.403	16998.058	2233.0085
0.6062069	29866	24255.574	16990.253	2221.5636
0.80827586	29866	24245.183	16979.889	2206.4161
1.0103448	29866	24232.117	16966.852	2187.4411
1.2124138	29866	24216.32	16951.085	2164.6086
1.4144828	29866	24197.759	16932.55	2137.9326
1.6165517	29866	24176.406	16911.219	2107.4539
1.8186207	29866	24152.24	16887.071	2073.2345
2.0206897	29866	24125.24	16860.087	2035.3543
2.2227586	29866	24095.386	16830.249	1993.9096
2.4248276	29866	24062.658	16797.543	1949.012
2.6268966	29866	24027.033	16761.957	1900.7863
2.8289655	29866	23988.489	16723.479	1849.3684
3.0310345	29866	23947.001	16682.101	1794.9017
3.2331034	29866	23902.544	16637.816	1737.5327
3.4351724	29866	23855.09	16590.616	1677.405
3.6372414	29866	23804.609	16540.497	1614.652
3.8393103	29866	23751.071	16487.451	1549.3881
4.0413793	29866	23694.441	16431.473	1481.6992
4.2434483	29866	23634.683	16372.552	1411.6315
4.4455172	29866	23571.76	16310.677	1339.1815
4.6475862	29866	23505.631	16245.833	1264.2852
4.8496552	29866	23436.252	16178	1186.8112
5.0517241	29866	23363.578	16107.153	1106.5567
5.2537931	29866	23287.559	16033.265	1023.2507
5.4558621	29866	23208.143	15956.304	936.56691
5.657931	29866	23125.275	15876.235	846.15025
5.86	29866	23038.917	15793.04	751.68632
