r(x_rel=0.75)	t=0	t=1000	t=2000	t=3620
0	29866	21932.049	13681.185	2067.8816
0.20206897	29866	21924.613	13673.947	2062.2873
0.40413793	29866	21917.179	13666.708	2056.6834
0.6062069	29866	21906.775	13656.572	2048.8174
0.80827586	29866	21892.981	13643.125	2038.3465
1.0103448	29866	21875.66	13626.227	2025.1332
1.2124138	29866	21854.758	13605.812	2009.0903
1.4144828	29866	21830.248	13581.845	1990.1451
1.6165517	29866	21802.122	13554.301	1968.2288
1.8186207	29866	21770.381	13523.165	1943.2718
2.0206897	29866	21735.032	13488.422	1915.2023
2.2227586	29866	21696.09	13450.061	1883.9469
2.4248276	29866	21653.571	13408.073	1849.4309
2.6268966	29866	21607.498	13362.449	1811.5805
2.8289655	29866	21557.9	13313.181	1770.3241
3.0310345	29866	21504.807	13260.263	1725.5954
3.2331034	29866	21448.257	13203.689	1677.3357
3.4351724	29866	21388.294	13143.454	1625.4972
3.6372414	29866	21324.963	13079.557	1570.0459
3.8393103	29866	21258.321	13011.997	1510.9651
4.0413793	29866	21188.427	12940.775	1448.2578
4.2434483	29866	21115.35	12865.895	1381.9496
4.4455172	29866	21039.163	12787.364	1312.09
4.6475862	29866	20959.95	12705.193	1238.7532
4.8496552	29866	20877.799	12619.392	1162.0373
5.0517241	29866	20792.81	12529.979	1082.0621
5.2537931	29866	20705.088	12436.97	998.9646
5.4558621	29866	20614.748	12340.385	912.89311
5.657931	29866	20521.912	12240.248	823.99935
5.86	29866	20426.728	12136.605	732.44892
