x	t=0	t=1000	t=2000	t=3620
0	0	0	0	0
2.937931	0	-8.2971104e-05	-7.9072534e-05	-9.2229343e-05
5.8758621	0	-0.00033109881	-0.00031553004	-0.00036779299
8.8137931	0	-0.00074204227	-0.00070711431	-0.00082335418
11.751724	0	-0.0013119597	-0.001250139	-0.0014534473
14.689655	0	-0.0020356226	-0.0019396207	-0.0022505705
17.627586	0	-0.0029066153	-0.0027694847	-0.0032054273
20.565517	0	-0.0039176275	-0.003732847	-0.0043074104
23.503448	0	-0.0050608231	-0.0048223555	-0.0055451845
26.441379	0	-0.006328246	-0.0060305563	-0.006907291
29.37931	0	-0.0077122086	-0.0073502453	-0.0083827175
32.317241	0	-0.0092056152	-0.0087747691	-0.0099613595
35.255172	0	-0.010802187	-0.010298251	-0.011634333
38.193103	0	-0.012496573	-0.011915736	-0.013394139
41.131034	0	-0.014284353	-0.013623255	-0.015234703
44.068966	0	-0.016161946	-0.015417832	-0.017151335
47.006897	0	-0.018126444	-0.017297437	-0.019140626
49.944828	0	-0.020175406	-0.019260906	-0.021200332
52.882759	0	-0.022306666	-0.021307839	-0.023329265
55.82069	0	-0.024518188	-0.023438474	-0.02552718
58.758621	0	-0.026808054	-0.025653555	-0.027794694
61.696552	0	-0.029174576	-0.027954187	-0.03013321
64.634483	0	-0.031616538	-0.030341689	-0.032544875
67.572414	0	-0.03413351	-0.032817463	-0.035032561
70.510345	0	-0.036726157	-0.035382914	-0.037599854
73.448276	0	-0.039396499	-0.038039435	-0.040251079
76.386207	0	-0.042148081	-0.040788489	-0.04299133
79.324138	0	-0.044986072	-0.043631765	-0.045826542
82.262069	0	-0.047917323	-0.046571395	-0.048763565
85.2	0	-0.05095043	-0.049610163	-0.051810272
85.613793	0	-0.051200787	-0.049860883	-0.052062525
86.027586	0	-0.051368075	-0.050028513	-0.052231431
86.441379	0	-0.051535421	-0.050196196	-0.052400399
86.855172	0	-0.051702826	-0.050363934	-0.052569428
87.268966	0	-0.051870293	-0.050531728	-0.052738521
87.682759	0	-0.052037823	-0.05069958	-0.052907678
88.096552	0	-0.052205415	-0.05086749	-0.053076902
88.510345	0	-0.052373073	-0.051035459	-0.053246192
88.924138	0	-0.052540797	-0.051203491	-0.053415551
89.337931	0	-0.052708589	-0.051371584	-0.05358498
89.751724	0	-0.052876449	-0.051539742	-0.05375448
90.165517	0	-0.05304438	-0.051707964	-0.053924051
90.57931	0	-0.053212381	-0.051876253	-0.054093696
90.993103	0	-0.053380456	-0.05204461	-0.054263416
91.406897	0	-0.053548604	-0.052213036	-0.054433211
91.82069	0	-0.053716828	-0.052381532	-0.054603083
92.234483	0	-0.053885129	-0.0525501	-0.054773034
92.648276	0	-0.054053507	-0.052718741	-0.054943064
93.062069	0	-0.054221964	-0.052887456	-0.055113174
93.475862	0	-0.054390501	-0.053056247	-0.055283367
93.889655	0	-0.054559121	-0.053225114	-0.055453643
94.303448	0	-0.054727823	-0.05339406	-0.055624003
94.717241	0	-0.054896609	-0.053563084	-0.055794448
95.131034	0	-0.055065481	-0.05373219	-0.055964981
95.544828	0	-0.05523444	-0.053901377	-0.056135602
95.958621	0	-0.055403486	-0.054070648	-0.056306311
96.372414	0	-0.055572622	-0.054240003	-0.056477112
96.786207	0	-0.055741849	-0.054409444	-0.056648004
97.2	0	-0.055955689	-0.054623469	-0.056863668
99.806897	0	-0.057705933	-0.056373111	-0.058627452
102.41379	0	-0.059404419	-0.058068286	-0.060340855
105.02069	0	-0.061051232	-0.059709417	-0.062003837
107.62759	0	-0.062646253	-0.061296703	-0.06361615
110.23448	0	-0.064189188	-0.062830148	-0.065177367
112.84138	0	-0.065679587	-0.064309581	-0.066686903
115.44828	0	-0.067116869	-0.065734684	-0.068144033
118.05517	0	-0.068500333	-0.067105008	-0.069547913
120.66207	0	-0.069829184	-0.06841999	-0.070897593
123.26897	0	-0.07110254	-0.069678972	-0.072192037
125.87586	0	-0.072319451	-0.070881215	-0.073430137
128.48276	0	-0.073478913	-0.072025912	-0.074610728
131.08966	0	-0.074579882	-0.073112201	-0.075732602
133.69655	0	-0.075621283	-0.074139182	-0.076794523
136.30345	0	-0.076602028	-0.075105924	-0.077795243
138.91034	0	-0.077521024	-0.076011478	-0.078733512
141.51724	0	-0.078377189	-0.076854893	-0.079608096
144.12414	0	-0.07916946	-0.07763522	-0.080417789
146.73103	0	-0.079896808	-0.07835153	-0.081161426
149.33793	0	-0.080558244	-0.079002919	-0.081837896
151.94483	0	-0.081152837	-0.07958852	-0.082446156
154.55172	0	-0.081679716	-0.080107513	-0.08298524
157.15862	0	-0.082138085	-0.080559131	-0.083454273
159.76552	0	-0.082527231	-0.080942671	-0.083852479
162.37241	0	-0.082846529	-0.081257501	-0.08417919
164.97931	0	-0.083095452	-0.081503064	-0.084433857
167.58621	0	-0.083273577	-0.081678888	-0.084616052
170.1931	0	-0.083380588	-0.081784585	-0.084725478
172.8	0	-0.083416283	-0.081819858	-0.084761969
