x	t=0	t=1000	t=2000	t=3620
0	0.092020002	0.15848812	0.19455226	1.3453608
2.937931	0.092020002	0.15848746	0.19455161	1.3453601
5.8758621	0.092020002	0.15848683	0.19455098	1.3453595
8.8137931	0.092020002	0.15848622	0.19455036	1.3453589
11.751724	0.092020002	0.15848563	0.19454977	1.3453583
14.689655	0.092020002	0.15848506	0.1945492	1.3453577
17.627586	0.092020002	0.15848451	0.19454865	1.3453572
20.565517	0.092020002	0.15848399	0.19454812	1.3453567
23.503448	0.092020002	0.15848349	0.19454761	1.3453562
26.441379	0.092020002	0.15848301	0.19454712	1.3453557
29.37931	0.092020002	0.15848256	0.19454666	1.3453553
32.317241	0.092020002	0.15848213	0.19454622	1.3453549
35.255172	0.092020002	0.15848172	0.1945458	1.3453545
38.193103	0.092020002	0.15848134	0.1945454	1.3453541
41.131034	0.092020002	0.15848098	0.19454503	1.3453538
44.068966	0.092020002	0.15848065	0.19454469	1.3453534
47.006897	0.092020002	0.15848034	0.19454436	1.3453531
49.944828	0.092020002	0.15848006	0.19454407	1.3453529
52.882759	0.092020002	0.15847981	0.19454379	1.3453526
55.82069	0.092020002	0.15847958	0.19454355	1.3453524
58.758621	0.092020002	0.15847938	0.19454332	1.3453521
61.696552	0.092020002	0.1584792	0.19454313	1.345352
64.634483	0.092020002	0.15847904	0.19454296	1.3453518
67.572414	0.092020002	0.15847891	0.19454281	1.3453517
70.510345	0.092020002	0.15847879	0.19454269	1.3453515
73.448276	0.092020002	0.1584787	0.1945426	1.3453514
76.386207	0.092020002	0.15847863	0.19454252	1.3453514
79.324138	0.092020002	0.15847858	0.19454247	1.3453513
82.262069	0.092020002	0.15847855	0.19454244	1.3453513
85.2	0.092020002	0.15847854	0.19454243	1.3453513
