x	t=0	t=1000	t=2000	t=3620
97.2	4.2729614	3.8853528	3.6774568	3.4524999
99.806897	4.2729614	3.8853405	3.6774441	3.4524878
102.41379	4.2729614	3.8853038	3.6774059	3.4524518
105.02069	4.2729614	3.8852425	3.6773424	3.4523917
107.62759	4.2729614	3.8851568	3.6772537	3.4523075
110.23448	4.2729614	3.8850465	3.67714	3.4521991
112.84138	4.2729614	3.8849118	3.6770013	3.4520665
115.44828	4.2729614	3.8847526	3.6768378	3.4519097
118.05517	4.2729614	3.8845689	3.6766497	3.4517286
120.66207	4.2729614	3.8843608	3.6764369	3.4515233
123.26897	4.2729614	3.8841284	3.6761996	3.4512936
125.87586	4.2729614	3.8838715	3.6759379	3.4510397
128.48276	4.2729614	3.8835902	3.6756519	3.4507614
131.08966	4.2729614	3.8832846	3.6753417	3.4504587
133.69655	4.2729614	3.8829547	3.6750073	3.4501317
136.30345	4.2729614	3.8826005	3.6746488	3.4497803
138.91034	4.2729614	3.882222	3.6742662	3.4494045
141.51724	4.2729614	3.8818193	3.6738597	3.4490043
144.12414	4.2729614	3.8813923	3.6734292	3.4485797
146.73103	4.2729614	3.8809411	3.6729748	3.4481308
149.33793	4.2729614	3.8804656	3.6724966	3.4476574
151.94483	4.2729614	3.879966	3.6719944	3.4471596
154.55172	4.2729614	3.8794422	3.6714685	3.4466374
157.15862	4.2729614	3.8788943	3.6709187	3.4460908
159.76552	4.2729614	3.8783221	3.670345	3.4455198
162.37241	4.2729614	3.8777258	3.6697475	3.4449244
164.97931	4.2729614	3.8771053	3.6691262	3.4443046
167.58621	4.2729614	3.8764607	3.668481	3.4436604
170.1931	4.2729614	3.8757918	3.6678118	3.4429919
172.8	4.2729614	3.8750988	3.6671187	3.442299
