t(s)	total_voltage(V)
0	4.1809414
0.05	4.0350335
0.1	4.034416
0.2	4.033208
0.4	4.0309152
0.8	4.0268183
1.6	4.0201816
3.2	4.0106314
6.4	3.9980345
12.8	3.9818361
25.6	3.9620154
38.4	3.9503533
51.2	3.94335
64	3.9389175
89.6	3.9335174
115.2	3.9300806
140.8	3.9271946
166.4	3.9239869
217.6	3.9149126
268.8	3.9024665
320	3.8880419
410	3.8612582
500	3.8359843
590	3.8134311
680	3.7929298
770	3.7728478
860	3.7518865
950	3.7296205
1000	3.7166107
1090	3.6917441
1180	3.6646707
1270	3.6357437
1360	3.6076169
1450	3.5825895
1540	3.5604935
1630	3.5409186
1720	3.5234278
1810	3.507031
1900	3.4907812
1990	3.4743881
2000	3.4725664
2090	3.4557512
2180	3.4381275
2270	3.4194992
2360	3.3995783
2450	3.3779627
2540	3.3543759
2630	3.3294542
2720	3.3047841
2810	3.2807087
2900	3.2554044
2990	3.226013
3080	3.1864871
3170	3.1218747
3260	3.0351895
3350	2.9463251
3440	2.8258889
3530	2.5963552
3620	2.0969382
