r	t=0	t=46
0	12630.8	18979.764
0.13	12630.8	18988.789
0.26	12630.8	18997.821
0.39	12630.8	19010.482
0.52	12630.8	19027.303
0.65	12630.8	19048.48
0.78	12630.8	19074.123
0.91	12630.8	19104.314
1.04	12630.8	19139.129
1.17	12630.8	19178.64
1.3	12630.8	19222.929
1.43	12630.8	19272.082
1.56	12630.8	19326.195
1.69	12630.8	19385.374
1.82	12630.8	19449.735
1.95	12630.8	19519.408
2.08	12630.8	19594.532
2.21	12630.8	19675.265
2.34	12630.8	19761.775
2.47	12630.8	19854.253
2.6	12630.8	19952.907
2.73	12630.8	20057.97
2.86	12630.8	20169.704
2.99	12630.8	20288.403
3.12	12630.8	20414.402
3.25	12630.8	20548.083
3.38	12630.8	20689.883
3.51	12630.8	20840.306
3.64	12630.8	20999.938
3.77	12630.8	21169.461
3.9	12630.8	21349.677
4.03	12630.8	21541.535
4.16	12630.8	21746.169
4.29	12630.8	21964.947
4.42	12630.8	22199.538
4.55	12630.8	22452.01
4.68	12630.8	22724.967
4.81	12630.8	23021.744
4.94	12630.8	23346.72
5.07	12630.8	23705.789
5.2	12630.8	24107.156
5.33	12630.8	24562.704
5.46	12630.8	25090.527
5.59	12630.8	25719.984
5.72	12630.8	26502.654
5.85	12630.8	27537.248
5.98	12630.8	29009.094
6.11	12630.8	31000.55
6.24	12630.8	32887.305
6.37	12630.8	34334.199
6.5	12630.8	35465.512
