r(x_rel=0.25)	t=0	t=1000	t=2000	t=3620
0	17038	20792.245	30390.688	46777.875
0.18	17038	20838.639	30444.702	46832.37
0.36	17038	20885.1	30498.723	46886.864
0.54	17038	20950.286	30574.365	46963.152
0.72	17038	21037.003	30674.729	47064.343
0.9	17038	21146.342	30800.862	47191.473
1.08	17038	21278.96	30953.258	47345.004
1.26	17038	21435.374	31132.197	47525.185
1.44	17038	21616.052	31337.865	47732.158
1.62	17038	21821.455	31570.4	47966.012
1.8	17038	22052.043	31829.912	48226.802
1.98	17038	22308.284	32116.498	48514.565
2.16	17038	22590.652	32430.246	48829.321
2.34	17038	22899.624	32771.238	49171.081
2.52	17038	23235.677	33139.553	49539.849
2.7	17038	23599.278	33535.268	49935.625
2.88	17038	23990.885	33958.457	50358.405
3.06	17038	24410.93	34409.191	50808.187
3.24	17038	24859.818	34887.537	51284.968
3.42	17038	25337.916	35393.561	51788.753
3.6	17038	25845.539	35927.327	52319.552
3.78	17038	26382.947	36488.894	52877.38
3.96	17038	26950.334	37078.322	53462.256
4.14	17038	27547.824	37695.667	54074.193
4.32	17038	28175.465	38340.981	54713.181
4.5	17038	28833.228	39014.305	55379.171
4.68	17038	29521.012	39715.657	56072.043
4.86	17038	30238.636	40445.027	56791.579
5.04	17038	30985.848	41202.365	57537.454
5.22	17038	31762.128	41987.393	58309.082
