r(x_rel=1)	t=0	t=1000	t=2000	t=3620
0	17038	20598.555	30047.646	46143.213
0.18	17038	20643.554	30101.148	46197.099
0.36	17038	20688.622	30154.652	46250.987
0.54	17038	20751.862	30229.562	46326.433
0.72	17038	20836.007	30328.938	46426.52
0.9	17038	20942.129	30453.804	46552.279
1.08	17038	21070.883	30604.63	46704.183
1.26	17038	21222.793	30781.672	46882.49
1.44	17038	21398.338	30985.087	47087.358
1.62	17038	21597.994	31214.977	47318.894
1.8	17038	21822.236	31471.415	47577.176
1.98	17038	22071.552	31754.455	47862.265
2.16	17038	22346.431	32064.136	48174.207
2.34	17038	22647.366	32400.489	48513.047
2.52	17038	22974.847	32763.536	48878.821
2.7	17038	23329.354	33153.295	49271.561
2.88	17038	23711.35	33569.779	49691.294
3.06	17038	24121.279	34012.995	50138.043
3.24	17038	24559.557	34482.945	50611.819
3.42	17038	25026.569	34979.63	51112.624
3.6	17038	25522.665	35503.039	51640.445
3.78	17038	26048.159	36053.158	52195.261
3.96	17038	26603.324	36629.963	52777.042
4.14	17038	27188.397	37233.427	53385.763
4.32	17038	27803.571	37863.517	54021.427
4.5	17038	28449.005	38520.206	54684.091
4.68	17038	29124.819	39203.478	55373.91
4.86	17038	29831.097	39913.347	56091.167
5.04	17038	30567.892	40649.859	56836.292
5.22	17038	31335.04	41412.919	57609.638
