x	t=0	t=1000	t=2000	t=3620
0	1.2716767e-05	1.3880245	1.3351743	1.5214359
2.937931	1.2716767e-05	1.3897606	1.3365816	1.5215423
5.8758621	1.2716767e-05	1.3949964	1.3408236	1.521849
8.8137931	1.2716767e-05	1.4036729	1.3478478	1.52231
11.751724	1.2716767e-05	1.4156899	1.3575678	1.5228782
14.689655	1.2716767e-05	1.4309041	1.3698647	1.5234497
17.627586	1.2716767e-05	1.4491219	1.3845896	1.5238654
20.565517	1.2716767e-05	1.470093	1.4015658	1.5239894
23.503448	1.2716767e-05	1.4934946	1.4205918	1.5237108
26.441379	1.2716767e-05	1.5189057	1.4414415	1.5228984
29.37931	1.2716767e-05	1.5457694	1.463862	1.5214219
32.317241	1.2716767e-05	1.5733303	1.4875678	1.519248
35.255172	1.2716767e-05	1.6005506	1.5122281	1.5163063
38.193103	1.2716767e-05	1.6260075	1.5374468	1.512569
41.131034	1.2716767e-05	1.6477914	1.5627338	1.5080872
44.068966	1.2716767e-05	1.6634728	1.587466	1.5028824
47.006897	1.2716767e-05	1.6702319	1.6108381	1.4970804
49.944828	1.2716767e-05	1.6652946	1.6318057	1.4907254
52.882759	1.2716767e-05	1.6466709	1.6490276	1.483955
55.82069	1.2716767e-05	1.6140473	1.6608235	1.4768144
58.758621	1.2716767e-05	1.5693398	1.6651813	1.4694716
61.696552	1.2716767e-05	1.5166184	1.659868	1.461953
64.634483	1.2716767e-05	1.4613272	1.6427201	1.4543927
67.572414	1.2716767e-05	1.4091578	1.6121399	1.4468086
70.510345	1.2716767e-05	1.3649371	1.5676747	1.4393143
73.448276	1.2716767e-05	1.3318748	1.510398	1.4319885
76.386207	1.2716767e-05	1.3114342	1.4428092	1.4248425
79.324138	1.2716767e-05	1.3037341	1.3682245	1.4178652
82.262069	1.2716767e-05	1.3081637	1.2899618	1.4110985
85.2	1.2716767e-05	1.3239644	1.2107551	1.4044332
