t(s)	Capacity_total(Ah)	Capacity_discharge(Ah)
0	0	0
0.05	6.9444444e-05	0
0.1	0.00013888889	0
0.2	0.00027777778	0
0.4	0.00055555556	0
0.8	0.0011111111	0
1.6	0.0022222222	0
3.2	0.0044444444	0
6.4	0.0088888889	0
12.8	0.017777778	0
25.6	0.035555556	0
38.4	0.053333333	0
51.2	0.071111111	0
64	0.088888889	0
89.6	0.12444444	0
115.2	0.16	0
140.8	0.19555556	0
166.4	0.23111111	0
217.6	0.30222222	0
268.8	0.37333333	0
320	0.44444444	0
410	0.56944444	0
500	0.69444444	0
590	0.81944444	0
680	0.94444444	0
770	1.0694444	0
860	1.1944444	0
950	1.3194444	0
1000	1.3888889	0
1090	1.5138889	0
1180	1.6388889	0
1270	1.7638889	0
1360	1.8888889	0
1450	2.0138889	0
1540	2.1388889	0
1630	2.2638889	0
1720	2.3888889	0
1810	2.5138889	0
1900	2.6388889	0
1990	2.7638889	0
2000	2.7777778	0
2090	2.9027778	0
2180	3.0277778	0
2270	3.1527778	0
2360	3.2777778	0
2450	3.4027778	0
2540	3.5277778	0
2630	3.6527778	0
2720	3.7777778	0
2810	3.9027778	0
2900	4.0277778	0
2990	4.1527778	0
3080	4.2777778	0
3170	4.4027778	0
3260	4.5277778	0
3350	4.6527778	0
3440	4.7777778	0
3530	4.9027778	0
3620	5.0277778	0
