r(x_rel=0)	t=0	t=1000	t=2000	t=3620
0	29866	24275.057	17010.348	2254.9048
0.20206897	29866	24269.471	17004.781	2246.7053
0.40413793	29866	24263.883	16999.211	2238.5145
0.6062069	29866	24256.056	16991.408	2227.066
0.80827586	29866	24245.667	16981.047	2211.9131
1.0103448	29866	24232.604	16968.014	2192.9301
1.2124138	29866	24216.811	16952.25	2170.0866
1.4144828	29866	24198.253	16933.72	2143.3956
1.6165517	29866	24176.905	16912.395	2112.8973
1.8186207	29866	24152.744	16888.253	2078.6526
2.0206897	29866	24125.75	16861.275	2040.7407
2.2227586	29866	24095.903	16831.445	1999.2572
2.4248276	29866	24063.182	16798.747	1954.313
2.6268966	29866	24027.565	16763.169	1906.0324
2.8289655	29866	23989.03	16724.7	1854.5512
3.0310345	29866	23947.552	16683.331	1800.013
3.2331034	29866	23903.105	16639.055	1742.565
3.4351724	29866	23855.663	16591.866	1682.3518
3.6372414	29866	23805.195	16541.757	1619.5083
3.8393103	29866	23751.67	16488.722	1554.1513
4.0413793	29866	23695.054	16432.755	1486.3691
4.2434483	29866	23635.312	16373.846	1416.2112
4.4455172	29866	23572.406	16311.984	1343.6774
4.6475862	29866	23506.295	16247.153	1268.7073
4.8496552	29866	23436.936	16179.333	1191.173
5.0517241	29866	23364.282	16108.502	1110.8746
5.2537931	29866	23288.285	16034.63	1027.5431
5.4558621	29866	23208.893	15957.686	940.85344
5.657931	29866	23126.051	15877.635	850.45005
5.86	29866	23039.72	15794.46	756.01683
