r(x_rel=0.5)	t=0	t=1000	t=2000	t=3620
0	29866	23212.899	15491.649	2106.7341
0.20206897	29866	23206.136	15485.039	2100.6947
0.40413793	29866	23199.37	15478.43	2094.6536
0.6062069	29866	23189.894	15469.178	2086.1921
0.80827586	29866	23177.316	15456.905	2074.9604
1.0103448	29866	23161.503	15441.488	2060.8366
1.2124138	29866	23142.387	15422.869	2043.7584
1.4144828	29866	23119.928	15401.017	2023.6845
1.6165517	29866	23094.097	15375.913	2000.5807
1.8186207	29866	23064.867	15347.544	1974.4146
2.0206897	29866	23032.217	15315.898	1945.1516
2.2227586	29866	22996.124	15280.965	1912.7542
2.4248276	29866	22956.568	15242.735	1877.1806
2.6268966	29866	22913.526	15201.194	1838.3845
2.8289655	29866	22866.974	15156.33	1796.3152
3.0310345	29866	22816.889	15108.128	1750.9188
3.2331034	29866	22763.246	15056.569	1702.1391
3.4351724	29866	22706.018	15001.636	1649.9197
3.6372414	29866	22645.179	14943.306	1594.2067
3.8393103	29866	22580.699	14881.558	1534.9515
4.0413793	29866	22512.55	14816.367	1472.1146
4.2434483	29866	22440.701	14747.709	1405.6688
4.4455172	29866	22365.121	14675.558	1335.6034
4.6475862	29866	22285.779	14599.888	1261.9269
4.8496552	29866	22202.641	14520.675	1184.6688
5.0517241	29866	22115.674	14437.891	1103.8797
5.2537931	29866	22024.846	14351.509	1019.6283
5.4558621	29866	21930.122	14261.504	931.99441
5.657931	29866	21831.47	14167.846	841.05739
5.86	29866	21728.881	14070.529	746.90065
