r(x_rel=0.75)	t=0	t=1000	t=2000	t=3620
0	17038	20524.496	29949.838	45992.14
0.18	17038	20569.179	30003.252	46046
0.36	17038	20613.933	30056.667	46099.863
0.54	17038	20676.736	30131.448	46175.274
0.72	17038	20760.307	30230.646	46275.317
0.9	17038	20865.716	30355.281	46401.023
1.08	17038	20993.623	30505.812	46552.868
1.26	17038	21144.555	30682.486	46731.112
1.44	17038	21319.001	30885.449	46935.915
1.62	17038	21517.443	31114.792	47167.39
1.8	17038	21740.365	31370.574	47425.615
1.98	17038	21988.259	31652.83	47710.656
2.16	17038	22261.623	31961.583	48022.566
2.34	17038	22560.95	32296.843	48361.39
2.52	17038	22886.732	32658.611	48727.171
2.7	17038	23239.444	33046.884	49119.948
2.88	17038	23619.547	33461.652	49539.756
3.06	17038	24027.479	33902.903	49986.625
3.24	17038	24463.652	34370.62	50460.579
3.42	17038	24928.455	34864.785	50961.638
3.6	17038	25422.248	35385.378	51489.81
3.78	17038	25945.367	35932.374	52045.096
3.96	17038	26498.122	36505.748	52627.495
4.14	17038	27080.801	37105.469	53237.01
4.32	17038	27693.663	37731.512	53873.664
4.5	17038	28336.945	38383.859	54537.527
4.68	17038	29010.855	39062.51	55228.742
4.86	17038	29715.572	39767.498	55947.555
5.04	17038	30451.255	40498.895	56694.33
5.22	17038	31217.853	41256.636	57469.332
