x	t=0	t=1000	t=2000	t=3620
0	0.000381503	1.387714	1.3350119	1.5208098
2.937931	0.000381503	1.3894465	1.3364151	1.5209218
5.8758621	0.000381503	1.3946713	1.3406449	1.5212456
8.8137931	0.000381503	1.4033298	1.3476488	1.5217363
11.751724	0.000381503	1.4153219	1.3573403	1.5223356
14.689655	0.000381503	1.4305042	1.3696008	1.5229575
17.627586	0.000381503	1.448684	1.3842814	1.5234338
20.565517	0.000381503	1.4696118	1.401206	1.5236268
23.503448	0.000381503	1.4929657	1.4201733	1.5234254
26.441379	0.000381503	1.5183278	1.440958	1.5226967
29.37931	0.000381503	1.5451437	1.4633087	1.5213087
32.317241	0.000381503	1.5726638	1.4869412	1.5192262
35.255172	0.000381503	1.5998585	1.5115272	1.5163714
38.193103	0.000381503	1.6253144	1.5366739	1.5127166
41.131034	0.000381503	1.6471379	1.561896	1.5083078
44.068966	0.000381503	1.6629108	1.5865769	1.503168
47.006897	0.000381503	1.6698299	1.6099203	1.4974144
49.944828	0.000381503	1.6651199	1.6308929	1.491096
52.882759	0.000381503	1.6467808	1.6481677	1.4843431
55.82069	0.000381503	1.614458	1.6600813	1.4772154
58.758621	0.000381503	1.5700301	1.6646379	1.4698589
61.696552	0.000381503	1.5175218	1.6596163	1.4623307
64.634483	0.000381503	1.4623546	1.6428525	1.454726
67.572414	0.000381503	1.4102174	1.6127299	1.4471158
70.510345	0.000381503	1.3659513	1.5687552	1.4395745
73.448276	0.000381503	1.3327932	1.5119485	1.4322047
76.386207	0.000381503	1.3122335	1.4447582	1.4250061
79.324138	0.000381503	1.3044095	1.3704738	1.4179908
82.262069	0.000381503	1.3087206	1.2924066	1.4111649
85.2	0.000381503	1.3244038	1.2133073	1.4044608
