x	t=0	t=1000	t=1640
0	5e-09	5.5961183e-09	5.9463538e-09
2.937931	5e-09	5.5961183e-09	5.9463538e-09
5.8758621	5e-09	5.5961183e-09	5.9463538e-09
8.8137931	5e-09	5.5961183e-09	5.9463538e-09
11.751724	5e-09	5.5961183e-09	5.9463538e-09
14.689655	5e-09	5.5961183e-09	5.9463538e-09
17.627586	5e-09	5.5961183e-09	5.9463538e-09
20.565517	5e-09	5.5961183e-09	5.9463538e-09
23.503448	5e-09	5.5961183e-09	5.9463538e-09
26.441379	5e-09	5.5961183e-09	5.9463538e-09
29.37931	5e-09	5.5961183e-09	5.9463538e-09
32.317241	5e-09	5.5961183e-09	5.9463538e-09
35.255172	5e-09	5.5961183e-09	5.9463538e-09
38.193103	5e-09	5.5961183e-09	5.9463538e-09
41.131034	5e-09	5.5961183e-09	5.9463538e-09
44.068966	5e-09	5.5961183e-09	5.9463538e-09
47.006897	5e-09	5.5961183e-09	5.9463538e-09
49.944828	5e-09	5.5961183e-09	5.9463538e-09
52.882759	5e-09	5.5961183e-09	5.9463538e-09
55.82069	5e-09	5.5961183e-09	5.9463538e-09
58.758621	5e-09	5.5961183e-09	5.9463538e-09
61.696552	5e-09	5.5961183e-09	5.9463538e-09
64.634483	5e-09	5.5961183e-09	5.9463538e-09
67.572414	5e-09	5.5961183e-09	5.9463538e-09
70.510345	5e-09	5.5961183e-09	5.9463538e-09
73.448276	5e-09	5.5961183e-09	5.9463538e-09
76.386207	5e-09	5.5961183e-09	5.9463538e-09
79.324138	5e-09	5.5961183e-09	5.9463538e-09
82.262069	5e-09	5.5961183e-09	5.9463538e-09
85.2	5e-09	5.5961183e-09	5.9463538e-09
