t(s)	Capacity_total(Ah)	Capacity_discharge(Ah)
0	0	0
0.05	0.00013888889	0
0.1	0.00027777778	0
0.2	0.00055555556	0
0.4	0.0011111111	0
0.8	0.0022222222	0
1.6	0.0044444444	0
3.2	0.0088888889	0
6.4	0.017777778	0
12.8	0.035555556	0
19.2	0.053333333	0
25.6	0.071111111	0
32	0.088888889	0
38.4	0.10666667	0
51.2	0.14222222	0
64	0.17777778	0
76.8	0.21333333	0
102.4	0.28444444	0
128	0.35555556	0
179.2	0.49777778	0
230.4	0.64	0
281.6	0.78222222	0
332.8	0.92444444	0
384	1.0666667	0
435.2	1.2088889	0
486.4	1.3511111	0
537.6	1.4933333	0
588.8	1.6355556	0
640	1.7777778	0
691.2	1.92	0
742.4	2.0622222	0
793.6	2.2044444	0
844.8	2.3466667	0
896	2.4888889	0
947.2	2.6311111	0
998.4	2.7733333	0
1000	2.7777778	0
1051.2	2.92	0
1102.4	3.0622222	0
1153.6	3.2044444	0
1204.8	3.3466667	0
1256	3.4888889	0
1307.2	3.6311111	0
1358.4	3.7733333	0
1409.6	3.9155556	0
1460.8	4.0577778	0
1512	4.2	0
1537.6	4.2711111	0
1563.2	4.3422222	0
1588.8	4.4133333	0
1614.4	4.4844444	0
1640	4.5555556	0
