x	t=0	t=1000	t=1640
0	1000	2975.1622	3417.8256
2.937931	1000	2969.39	3408.348
5.8758621	1000	2952.0503	3379.9485
8.8137931	1000	2923.0726	3332.726
11.751724	1000	2882.3381	3266.8444
14.689655	1000	2829.6782	3182.5298
17.627586	1000	2764.8715	3080.0677
20.565517	1000	2687.642	2959.7986
23.503448	1000	2597.6553	2822.114
26.441379	1000	2494.5159	2667.4512
29.37931	1000	2377.7642	2496.2888
32.317241	1000	2246.8744	2309.1423
35.255172	1000	2101.2551	2106.5604
38.193103	1000	1940.2532	1889.5549
41.131034	1000	1789.8821	1709.8826
44.068966	1000	1655.7327	1560.9268
47.006897	1000	1535.3546	1433.6423
49.944828	1000	1425.8801	1321.7601
52.882759	1000	1325.0223	1221.2326
55.82069	1000	1231.1201	1129.3925
58.758621	1000	1142.9929	1044.4162
61.696552	1000	1059.7947	965.01081
64.634483	1000	980.90131	890.2298
67.572414	1000	905.83144	819.36093
70.510345	1000	834.19678	751.85585
73.448276	1000	765.67178	687.28413
76.386207	1000	699.97537	625.30232
79.324138	1000	636.85856	565.63228
82.262069	1000	576.09554	508.04557
85.2	1000	517.47807	452.35199
85.613793	1000	512.83133	447.90421
86.027586	1000	509.74722	444.93357
86.441379	1000	506.67231	441.97176
86.855172	1000	503.60651	439.01873
87.268966	1000	500.54977	436.07442
87.682759	1000	497.50202	433.13875
88.096552	1000	494.4632	430.21168
88.510345	1000	491.43324	427.29314
88.924138	1000	488.41207	424.38307
89.337931	1000	485.39964	421.48142
89.751724	1000	482.39588	418.58813
90.165517	1000	479.40073	415.70314
90.57931	1000	476.41413	412.82639
90.993103	1000	473.43603	409.95783
91.406897	1000	470.46635	407.09741
91.82069	1000	467.50505	404.24506
92.234483	1000	464.55206	401.40074
92.648276	1000	461.60733	398.56439
93.062069	1000	458.67079	395.73596
93.475862	1000	455.74241	392.9154
93.889655	1000	452.82211	390.10265
94.303448	1000	449.90984	387.29766
94.717241	1000	447.00555	384.50039
95.131034	1000	444.10919	381.71078
95.544828	1000	441.2207	378.92878
95.958621	1000	438.34003	376.15435
96.372414	1000	435.46713	373.38743
96.786207	1000	432.60194	370.62798
97.2	1000	428.99038	367.16049
99.806897	1000	400.02566	339.21011
102.41379	1000	372.97581	312.68559
105.02069	1000	347.69866	287.52264
107.62759	1000	324.07015	263.66771
110.23448	1000	301.98127	241.07662
112.84138	1000	281.33571	219.71333
115.44828	1000	262.04784	199.54861
118.05517	1000	244.04118	180.55849
120.66207	1000	227.24705	162.72238
123.26897	1000	211.60357	146.02123
125.87586	1000	197.0547	130.43606
128.48276	1000	183.54959	115.94701
131.08966	1000	171.04189	102.53285
133.69655	1000	159.48929	90.17089
136.30345	1000	148.85308	78.83692
138.91034	1000	139.09781	68.505294
141.51724	1000	130.19102	59.148918
144.12414	1000	122.10305	50.739197
146.73103	1000	114.80681	43.245908
149.33793	1000	108.27775	36.637033
151.94483	1000	102.49372	30.87859
154.55172	1000	97.434987	25.934535
157.15862	1000	93.084204	21.766859
159.76552	1000	89.426453	18.336016
162.37241	1000	86.449281	15.601908
164.97931	1000	84.142752	13.525584
167.58621	1000	82.499516	12.07175
170.1931	1000	81.514858	11.211882
172.8	1000	81.186751	10.927401
