r(x_rel=0)	t=0	t=1000	t=1640
0	29866	19076.439	7228.2167
0.20206897	29866	19065.812	7208.1964
0.40413793	29866	19055.188	7188.1791
0.6062069	29866	19040.321	7160.1616
0.80827586	29866	19020.612	7123.0088
1.0103448	29866	18995.869	7076.3528
1.2124138	29866	18966.012	7020.0402
1.4144828	29866	18931.006	6954.0062
1.6165517	29866	18890.837	6878.2335
1.8186207	29866	18845.503	6792.7378
2.0206897	29866	18795.006	6697.5621
2.2227586	29866	18739.35	6592.775
2.4248276	29866	18678.535	6478.4713
2.6268966	29866	18612.559	6354.7727
2.8289655	29866	18541.409	6221.8291
3.0310345	29866	18465.059	6079.8195
3.2331034	29866	18383.47	5928.9512
3.4351724	29866	18296.581	5769.4587
3.6372414	29866	18204.312	5601.5995
3.8393103	29866	18106.56	5425.6491
4.0413793	29866	18003.2	5241.8924
4.2434483	29866	17894.084	5050.6127
4.4455172	29866	17779.048	4852.0798
4.6475862	29866	17657.919	4646.5355
4.8496552	29866	17530.517	4434.1814
5.0517241	29866	17396.668	4215.1716
5.2537931	29866	17256.21	3989.6153
5.4558621	29866	17108.992	3757.6003
5.657931	29866	16954.871	3519.2472
5.86	29866	16793.744	3274.8643
