r(x_rel=0)	t=0	t=1000	t=1640
0	17038	25683.909	39535.969
0.18	17038	25789.313	39659.124
0.36	17038	25894.912	39782.28
0.54	17038	26043.157	39954.698
0.72	17038	26240.504	40183.413
0.9	17038	26489.512	40470.758
1.08	17038	26791.742	40817.772
1.26	17038	27148.407	41224.98
1.44	17038	27560.583	41692.648
1.62	17038	28029.295	42220.873
1.8	17038	28555.573	42809.627
1.98	17038	29140.494	43458.762
2.16	17038	29785.211	44168.006
2.34	17038	30490.963	44936.945
2.52	17038	31259.049	45764.988
2.7	17038	32090.752	46651.326
2.88	17038	32987.238	47594.865
3.06	17038	33949.433	48594.129
3.24	17038	34977.944	49647.138
3.42	17038	36073.08	50751.238
3.6	17038	37234.981	51902.88
3.78	17038	38463.855	53097.359
3.96	17038	39760.211	54328.51
4.14	17038	41124.943	55588.421
4.32	17038	42559.21	56867.203
4.5	17038	44064.155	58152.941
4.68	17038	45640.7	59431.901
4.86	17038	47289.677	60689.021
5.04	17038	49012.27	61908.395
5.22	17038	50810.011	63072.96
