r(x_rel=0.25)	t=0	t=1000	t=1640
0	17038	24880.348	37707.193
0.18	17038	24976.886	37823.209
0.36	17038	25073.601	37939.261
0.54	17038	25209.373	38101.813
0.72	17038	25390.126	38317.578
0.9	17038	25618.233	38588.882
1.08	17038	25895.18	38916.875
1.26	17038	26222.159	39302.268
1.44	17038	26600.257	39745.585
1.62	17038	27030.52	40247.264
1.8	17038	27513.979	40807.704
1.98	17038	28051.659	41427.297
2.16	17038	28644.589	42106.445
2.34	17038	29293.812	42845.58
2.52	17038	30000.389	43645.174
2.7	17038	30765.4	44505.755
2.88	17038	31589.93	45427.916
3.06	17038	32475.054	46412.31
3.24	17038	33421.809	47459.636
3.42	17038	34431.171	48570.578
3.6	17038	35504.039	49745.689
3.78	17038	36641.238	50985.195
3.96	17038	37843.537	52288.654
4.14	17038	39111.68	53654.45
4.32	17038	40446.434	55079.082
4.5	17038	41848.625	56556.258
4.68	17038	43319.174	58075.92
4.86	17038	44859.135	59623.523
5.04	17038	46469.761	61180.207
5.22	17038	48152.197	62724.591
