x	t=0	t=1000	t=1640
0	0	0	0
2.937931	0	-0.00013200036	-0.00019278501
5.8758621	0	-0.00052936163	-0.00077228403
8.8137931	0	-0.0011962268	-0.0017420023
11.751724	0	-0.0021397078	-0.0031080408
14.689655	0	-0.0033702076	-0.0048795206
17.627586	0	-0.0049019141	-0.0070692411
20.565517	0	-0.0067535167	-0.0096946496
23.503448	0	-0.0089492273	-0.012779251
26.441379	0	-0.011520238	-0.016354667
29.37931	0	-0.014506828	-0.020463697
32.317241	0	-0.017961465	-0.025165007
35.255172	0	-0.021953508	-0.030540573
38.193103	0	-0.026576596	-0.036696529
41.131034	0	-0.031227861	-0.042372408
44.068966	0	-0.035761498	-0.047634663
47.006897	0	-0.040212374	-0.052630336
49.944828	0	-0.044632877	-0.057475185
52.882759	0	-0.049070783	-0.062252664
55.82069	0	-0.053565539	-0.067025187
58.758621	0	-0.058149524	-0.071842711
61.696552	0	-0.062850413	-0.076748333
64.634483	0	-0.067693707	-0.081782059
67.572414	0	-0.072705099	-0.086983577
70.510345	0	-0.077912554	-0.092394582
73.448276	0	-0.083348167	-0.098061057
76.386207	0	-0.089050118	-0.10403585
79.324138	0	-0.095065101	-0.11038196
82.262069	0	-0.10145162	-0.11717698
85.2	0	-0.10828458	-0.12451972
85.613793	0	-0.1088602	-0.1251443
86.027586	0	-0.10924571	-0.12556449
86.441379	0	-0.10963237	-0.12598621
86.855172	0	-0.1100202	-0.12640947
87.268966	0	-0.1104092	-0.12683431
87.682759	0	-0.1107994	-0.12726073
88.096552	0	-0.11119081	-0.12768877
88.510345	0	-0.11158344	-0.12811844
88.924138	0	-0.11197731	-0.12854977
89.337931	0	-0.11237244	-0.12898277
89.751724	0	-0.11276884	-0.12941747
90.165517	0	-0.11316653	-0.1298539
90.57931	0	-0.11356552	-0.13029207
90.993103	0	-0.11396584	-0.13073201
91.406897	0	-0.11436749	-0.13117374
91.82069	0	-0.1147705	-0.13161729
92.234483	0	-0.11517489	-0.13206268
92.648276	0	-0.11558066	-0.13250993
93.062069	0	-0.11598785	-0.13295908
93.475862	0	-0.11639646	-0.13341014
93.889655	0	-0.11680651	-0.13386315
94.303448	0	-0.11721803	-0.13431813
94.717241	0	-0.11763103	-0.1347751
95.131034	0	-0.11804554	-0.1352341
95.544828	0	-0.11846156	-0.13569515
95.958621	0	-0.11887913	-0.13615828
96.372414	0	-0.11929825	-0.13662352
96.786207	0	-0.11971896	-0.1370909
97.2	0	-0.12025274	-0.13768335
99.806897	0	-0.12469551	-0.14266937
102.41379	0	-0.1291397	-0.14778786
105.02069	0	-0.13358794	-0.15305195
107.62759	0	-0.13804192	-0.15847512
110.23448	0	-0.14250236	-0.16407117
112.84138	0	-0.14696896	-0.16985413
115.44828	0	-0.15144031	-0.17583819
118.05517	0	-0.15591377	-0.18203764
120.66207	0	-0.16038535	-0.18846699
123.26897	0	-0.16484957	-0.19514117
125.87586	0	-0.16929919	-0.20207572
128.48276	0	-0.17372508	-0.20928692
131.08966	0	-0.1781159	-0.21679169
133.69655	0	-0.1824579	-0.22460724
136.30345	0	-0.18673466	-0.23275036
138.91034	0	-0.19092681	-0.24123616
141.51724	0	-0.19501185	-0.25007614
144.12414	0	-0.19896399	-0.25927506
146.73103	0	-0.20275414	-0.26882625
149.33793	0	-0.20635001	-0.27870443
151.94483	0	-0.20971646	-0.28885523
154.55172	0	-0.21281603	-0.29918005
157.15862	0	-0.21560991	-0.30951555
159.76552	0	-0.21805905	-0.3196083
162.37241	0	-0.22012569	-0.32908926
164.97931	0	-0.22177509	-0.33746079
167.58621	0	-0.22297729	-0.34411977
170.1931	0	-0.22370891	-0.34844455
172.8	0	-0.22395462	-0.34994842
