x	t=0	t=1000	t=1640
97.2	4.2729614	3.4754418	3.1816985
99.806897	4.2729614	3.4754136	3.1816805
102.41379	4.2729614	3.4753289	3.1816259
105.02069	4.2729614	3.4751885	3.1815331
107.62759	4.2729614	3.4749927	3.1814004
110.23448	4.2729614	3.474742	3.1812261
112.84138	4.2729614	3.4744371	3.1810081
115.44828	4.2729614	3.4740784	3.1807446
118.05517	4.2729614	3.4736666	3.1804333
120.66207	4.2729614	3.4732022	3.1800722
123.26897	4.2729614	3.4726858	3.1796595
125.87586	4.2729614	3.472118	3.1791934
128.48276	4.2729614	3.4714996	3.1786725
131.08966	4.2729614	3.470831	3.1780957
133.69655	4.2729614	3.4701131	3.1774621
136.30345	4.2729614	3.4693464	3.1767712
138.91034	4.2729614	3.4685316	3.1760228
141.51724	4.2729614	3.4676694	3.175217
144.12414	4.2729614	3.4667605	3.1743541
146.73103	4.2729614	3.4658055	3.173435
149.33793	4.2729614	3.4648051	3.1724605
151.94483	4.2729614	3.4637598	3.1714319
154.55172	4.2729614	3.4626702	3.1703508
157.15862	4.2729614	3.4615368	3.1692192
159.76552	4.2729614	3.4603602	3.168039
162.37241	4.2729614	3.4591406	3.1668126
164.97931	4.2729614	3.4578784	3.1655422
167.58621	4.2729614	3.4565738	3.1642301
170.1931	4.2729614	3.455227	3.162878
172.8	4.2729614	3.4538379	3.161487
