t(s)	total_voltage(V)
0	4.1809414
0.05	3.959812
0.1	3.9585854
0.2	3.9561925
0.4	3.9516793
0.8	3.9437299
1.6	3.9312418
3.2	3.914315
6.4	3.8942068
12.8	3.8722798
19.2	3.8593207
25.6	3.8496814
32	3.8411731
38.4	3.83307
51.2	3.8169848
64	3.8009855
76.8	3.7855665
102.4	3.7557335
128	3.7295981
179.2	3.6880538
230.4	3.6558177
281.6	3.6256662
332.8	3.5926174
384	3.5559112
435.2	3.5177564
486.4	3.4811379
537.6	3.4478408
588.8	3.418826
640	3.3942957
691.2	3.3732493
742.4	3.3540384
793.6	3.3344534
844.8	3.3130794
896	3.2901119
947.2	3.2658847
998.4	3.2398641
1000	3.2390079
1051.2	3.2112992
1102.4	3.1829019
1153.6	3.1539412
1204.8	3.1244775
1256	3.0942357
1307.2	3.0624279
1358.4	3.0280418
1409.6	2.9888131
1460.8	2.9399961
1512	2.8753856
1537.6	2.8340975
1563.2	2.7839457
1588.8	2.7297842
1614.4	2.6781496
1640	2.6244556
