r(x_rel=0)	t=0	t=1000	t=1665
0	29866	19077.02	6602.5462
0.20206897	29866	19066.395	6583.0601
0.40413793	29866	19055.772	6563.5879
0.6062069	29866	19040.908	6536.3561
0.80827586	29866	19021.202	6500.2848
1.0103448	29866	18996.463	6455.0486
1.2124138	29866	18966.61	6400.5376
1.4144828	29866	18931.61	6336.7327
1.6165517	29866	18891.449	6263.6646
1.8186207	29866	18846.124	6181.3961
2.0206897	29866	18795.637	6090.0139
2.2227586	29866	18739.992	5989.6225
2.4248276	29866	18679.191	5880.3411
2.6268966	29866	18613.23	5762.2991
2.8289655	29866	18542.096	5635.6324
3.0310345	29866	18465.764	5500.4792
3.2331034	29866	18384.193	5356.9755
3.4351724	29866	18297.324	5205.2509
3.6372414	29866	18205.076	5045.4242
3.8393103	29866	18107.346	4877.6013
4.0413793	29866	18004.006	4701.8744
4.2434483	29866	17894.909	4518.3249
4.4455172	29866	17779.892	4327.0297
4.6475862	29866	17658.779	4128.0727
4.8496552	29866	17531.391	3921.559
5.0517241	29866	17397.554	3707.6307
5.2537931	29866	17257.103	3486.4749
5.4558621	29866	17109.888	3258.3113
5.657931	29866	16955.768	3023.3347
5.86	29866	16794.636	2781.6235
