r(x_rel=0.75)	t=0	t=1000	t=1665
0	29866	13643.949	4463.8193
0.20206897	29866	13629.348	4454.5629
0.40413793	29866	13614.717	4445.2981
0.6062069	29866	13594.167	4432.3092
0.80827586	29866	13566.795	4415.0467
1.0103448	29866	13532.232	4393.3062
1.2124138	29866	13490.244	4366.9721
1.4144828	29866	13440.645	4335.9576
1.6165517	29866	13383.273	4300.186
1.8186207	29866	13317.982	4259.5817
2.0206897	29866	13244.648	4214.0675
2.2227586	29866	13163.173	4163.5626
2.4248276	29866	13073.492	4107.9825
2.6268966	29866	12975.579	4047.2392
2.8289655	29866	12869.453	3981.2425
3.0310345	29866	12755.18	3909.9009
3.2331034	29866	12632.875	3833.1238
3.4351724	29866	12502.698	3750.8235
3.6372414	29866	12364.851	3662.9169
3.8393103	29866	12219.564	3569.3283
4.0413793	29866	12067.092	3469.9898
4.2434483	29866	11907.702	3364.8432
4.4455172	29866	11741.663	3253.8386
4.6475862	29866	11569.247	3136.9332
4.8496552	29866	11390.724	3014.0883
5.0517241	29866	11206.366	2885.2645
5.2537931	29866	11016.454	2750.419
5.4558621	29866	10821.284	2609.5041
5.657931	29866	10621.175	2462.4732
5.86	29866	10416.516	2309.339
