x	t=0	t=1000	t=1665
0	0.092020002	0.21459168	0.59134622
2.937931	0.092020002	0.21459037	0.59134492
5.8758621	0.092020002	0.2145891	0.59134368
8.8137931	0.092020002	0.21458787	0.5913425
11.751724	0.092020002	0.21458668	0.59134137
14.689655	0.092020002	0.21458554	0.59134031
17.627586	0.092020002	0.21458443	0.5913393
20.565517	0.092020002	0.21458336	0.59133835
23.503448	0.092020002	0.21458234	0.59133746
26.441379	0.092020002	0.21458137	0.59133662
29.37931	0.092020002	0.21458044	0.59133583
32.317241	0.092020002	0.21457956	0.59133509
35.255172	0.092020002	0.21457872	0.59133441
38.193103	0.092020002	0.21457794	0.59133377
41.131034	0.092020002	0.21457721	0.59133319
44.068966	0.092020002	0.21457654	0.59133265
47.006897	0.092020002	0.21457592	0.59133215
49.944828	0.092020002	0.21457535	0.5913317
52.882759	0.092020002	0.21457485	0.59133128
55.82069	0.092020002	0.2145744	0.59133091
58.758621	0.092020002	0.21457401	0.59133058
61.696552	0.092020002	0.21457367	0.59133029
64.634483	0.092020002	0.21457338	0.59133004
67.572414	0.092020002	0.21457314	0.59132982
70.510345	0.092020002	0.21457294	0.59132964
73.448276	0.092020002	0.21457278	0.59132949
76.386207	0.092020002	0.21457266	0.59132938
79.324138	0.092020002	0.21457258	0.5913293
82.262069	0.092020002	0.21457253	0.59132926
85.2	0.092020002	0.21457252	0.59132924
