x	t=0	t=1000	t=1665
97.2	4.2729614	3.4755206	3.1675778
99.806897	4.2729614	3.4754923	3.167561
102.41379	4.2729614	3.4754077	3.1675099
105.02069	4.2729614	3.4752672	3.1674231
107.62759	4.2729614	3.4750714	3.1672993
110.23448	4.2729614	3.4748208	3.1671367
112.84138	4.2729614	3.4745158	3.1669334
115.44828	4.2729614	3.4741572	3.1666874
118.05517	4.2729614	3.4737454	3.1663964
120.66207	4.2729614	3.473281	3.1660581
123.26897	4.2729614	3.4727646	3.1656701
125.87586	4.2729614	3.4721968	3.1652301
128.48276	4.2729614	3.4715784	3.164736
131.08966	4.2729614	3.4709099	3.1641862
133.69655	4.2729614	3.470192	3.1635793
136.30345	4.2729614	3.4694253	3.1629143
138.91034	4.2729614	3.4686106	3.1621907
141.51724	4.2729614	3.4677484	3.1614082
144.12414	4.2729614	3.4668395	3.1605671
146.73103	4.2729614	3.4658846	3.1596678
149.33793	4.2729614	3.4648841	3.1587112
151.94483	4.2729614	3.4638389	3.1576985
154.55172	4.2729614	3.4627493	3.1566314
157.15862	4.2729614	3.461616	3.1555115
159.76552	4.2729614	3.4604393	3.1543411
162.37241	4.2729614	3.4592198	3.1531226
164.97931	4.2729614	3.4579576	3.1518582
167.58621	4.2729614	3.456653	3.1505502
170.1931	4.2729614	3.4553062	3.1492005
172.8	4.2729614	3.4539171	3.1478104
