x	t=0	t=1000	t=1665
0	1000	2974.4182	3388.9433
2.937931	1000	2968.6521	3379.7341
5.8758621	1000	2951.3304	3352.1334
8.8137931	1000	2922.3823	3306.2219
11.751724	1000	2881.6887	3242.1332
14.689655	1000	2829.0799	3160.0527
17.627586	1000	2764.3338	3060.2152
20.565517	1000	2687.1729	2942.9035
23.503448	1000	2597.2611	2808.4461
26.441379	1000	2494.2009	2657.2148
29.37931	1000	2377.5301	2489.6228
32.317241	1000	2246.7202	2306.1218
35.255172	1000	2101.1761	2107.1996
38.193103	1000	1940.241	1893.3724
41.131034	1000	1789.9145	1715.2744
44.068966	1000	1655.7843	1567.1051
47.006897	1000	1535.4102	1440.2409
49.944828	1000	1425.9317	1328.5939
52.882759	1000	1325.0673	1228.1986
55.82069	1000	1231.1593	1136.4289
58.758621	1000	1143.03	1051.4842
61.696552	1000	1059.8347	972.08503
64.634483	1000	980.94953	897.2933
67.572414	1000	905.89292	826.40207
70.510345	1000	834.27579	758.86628
73.448276	1000	765.77175	694.25743
76.386207	1000	700.09897	632.23306
79.324138	1000	637.00781	572.51539
82.262069	1000	576.27186	514.87601
85.2	1000	517.68242	459.12461
85.613793	1000	513.03595	454.67758
86.027586	1000	509.95133	451.71209
86.441379	1000	506.8759	448.75532
86.855172	1000	503.80959	445.80721
87.268966	1000	500.75234	442.86769
87.682759	1000	497.70409	439.93672
88.096552	1000	494.66476	437.01423
88.510345	1000	491.6343	434.10015
88.924138	1000	488.61264	431.19444
89.337931	1000	485.59972	428.29703
89.751724	1000	482.59547	425.40787
90.165517	1000	479.59983	422.5269
90.57931	1000	476.61275	419.65406
90.993103	1000	473.63417	416.7893
91.406897	1000	470.66401	413.93257
91.82069	1000	467.70223	411.08381
92.234483	1000	464.74877	408.24296
92.648276	1000	461.80357	405.40998
93.062069	1000	458.86657	402.58481
93.475862	1000	455.93772	399.7674
93.889655	1000	453.01696	396.95769
94.303448	1000	450.10423	394.15565
94.717241	1000	447.19949	391.36121
95.131034	1000	444.30267	388.57433
95.544828	1000	441.41373	385.79496
95.958621	1000	438.53261	383.02305
96.372414	1000	435.65927	380.25854
96.786207	1000	432.79363	377.50141
97.2	1000	429.1815	374.03308
99.806897	1000	400.21213	346.02496
102.41379	1000	373.15808	319.40147
105.02069	1000	347.87708	294.09702
107.62759	1000	324.24504	270.05705
110.23448	1000	302.15292	247.23719
112.84138	1000	281.50436	225.60242
115.44828	1000	262.2137	205.12602
118.05517	1000	244.20443	185.78831
120.66207	1000	227.40787	167.57497
123.26897	1000	211.7621	150.47502
125.87586	1000	197.21108	134.4785
128.48276	1000	183.70394	119.57462
131.08966	1000	171.19433	105.75043
133.69655	1000	159.63992	92.990191
136.30345	1000	149.002	81.275257
138.91034	1000	139.24512	70.584186
141.51724	1000	130.33683	60.892927
144.12414	1000	122.24744	52.174981
146.73103	1000	114.94989	44.40147
149.33793	1000	108.41962	37.541141
151.94483	1000	102.63448	31.560328
154.55172	1000	97.574755	26.422949
157.15862	1000	93.223097	22.090656
159.76552	1000	89.564594	18.523299
162.37241	1000	86.586796	15.679927
164.97931	1000	84.279775	13.52052
167.58621	1000	82.636184	12.008585
170.1931	1000	81.651312	11.114447
172.8	1000	81.323134	10.818655
