r(x_rel=0)	t=0	t=1000	t=1665
0	17038	25683.316	40117.595
0.18	17038	25788.707	40240.706
0.36	17038	25894.294	40363.809
0.54	17038	26042.521	40536.135
0.72	17038	26239.843	40764.696
0.9	17038	26488.821	41051.794
1.08	17038	26791.013	41398.434
1.26	17038	27147.633	41805.094
1.44	17038	27559.757	42271.984
1.62	17038	28028.409	42799.134
1.8	17038	28554.619	43386.431
1.98	17038	29139.465	44033.622
2.16	17038	29784.098	44740.298
2.34	17038	30489.759	45505.866
2.52	17038	31257.744	46329.5
2.7	17038	32089.339	47210.072
2.88	17038	32985.709	48146.067
3.06	17038	33947.779	49135.462
3.24	17038	34976.157	50175.583
3.42	17038	36071.152	51262.928
3.6	17038	37232.907	52392.983
3.78	17038	38461.631	53560.023
3.96	17038	39757.833	54756.969
4.14	17038	41122.413	55975.295
4.32	17038	42556.532	57205.052
4.5	17038	44061.334	58434.971
4.68	17038	45637.745	59652.573
4.86	17038	47286.601	60844.143
5.04	17038	49009.092	61994.673
5.22	17038	50806.754	63088.934
