r(x_rel=0.5)	t=0	t=1000	t=1665
0	17038	24211.373	36546.716
0.18	17038	24300.894	36653.772
0.36	17038	24390.56	36760.869
0.54	17038	24516.402	36910.897
0.72	17038	24683.878	37110.074
0.9	17038	24895.154	37360.581
1.08	17038	25151.577	37663.525
1.26	17038	25454.237	38019.629
1.44	17038	25804.141	38429.463
1.62	17038	26202.277	38893.542
1.8	17038	26649.633	39412.378
1.98	17038	27147.19	39986.516
2.16	17038	27695.923	40616.559
2.34	17038	28296.786	41303.194
2.52	17038	28950.71	42047.221
2.7	17038	29658.602	42849.587
2.88	17038	30421.34	43711.42
3.06	17038	31239.787	44634.065
3.24	17038	32114.794	45619.126
3.42	17038	33047.213	46668.485
3.6	17038	34037.906	47784.311
3.78	17038	35087.74	48969.025
3.96	17038	36197.575	50225.199
4.14	17038	37368.207	51555.392
4.32	17038	38600.317	52961.913
4.5	17038	39894.41	54446.599
4.68	17038	41250.826	56010.802
4.86	17038	42669.803	57655.962
5.04	17038	44151.582	59385.27
5.22	17038	45696.079	61205.995
