x	t=0	t=1000	t=1665
0	0	0	0
2.937931	0	-0.00013189338	-0.00018984165
5.8758621	0	-0.00052893456	-0.00076054118
8.8137931	0	-0.0011952693	-0.0017156908
11.751724	0	-0.0021380141	-0.0030615215
14.689655	0	-0.0033675793	-0.0048073086
17.627586	0	-0.0048981631	-0.006965999
20.565517	0	-0.0067484689	-0.0095551329
23.503448	0	-0.0089427278	-0.01259819
26.441379	0	-0.011512157	-0.016126558
29.37931	0	-0.014497069	-0.020182476
32.317241	0	-0.017949974	-0.024823533
35.255172	0	-0.021940286	-0.030129828
38.193103	0	-0.026561714	-0.03621599
41.131034	0	-0.031211742	-0.041848548
44.068966	0	-0.035744741	-0.04708115
47.006897	0	-0.040195414	-0.052053404
49.944828	0	-0.044615992	-0.056877473
52.882759	0	-0.049054102	-0.061634929
55.82069	0	-0.053549045	-0.066387028
58.758621	0	-0.058133052	-0.071182869
61.696552	0	-0.06283367	-0.076064808
64.634483	0	-0.067676299	-0.081072125
67.572414	0	-0.072686562	-0.086243725
70.510345	0	-0.077892366	-0.091620409
73.448276	0	-0.08332575	-0.097247082
76.386207	0	-0.089024823	-0.10317524
79.324138	0	-0.095036182	-0.10946609
82.262069	0	-0.1014182	-0.11619482
85.2	0	-0.10824558	-0.12345679
85.613793	0	-0.10882095	-0.1240737
86.027586	0	-0.10920638	-0.12448835
86.441379	0	-0.10959296	-0.12490447
86.855172	0	-0.1099807	-0.12532208
87.268966	0	-0.11036962	-0.1257412
87.682759	0	-0.11075973	-0.12616185
88.096552	0	-0.11115105	-0.12658406
88.510345	0	-0.11154359	-0.12700784
88.924138	0	-0.11193737	-0.12743321
89.337931	0	-0.11233241	-0.1278602
89.751724	0	-0.11272872	-0.12828882
90.165517	0	-0.11312632	-0.12871909
90.57931	0	-0.11352522	-0.12915105
90.993103	0	-0.11392544	-0.12958471
91.406897	0	-0.114327	-0.13002009
91.82069	0	-0.11472991	-0.13045722
92.234483	0	-0.11513419	-0.13089612
92.648276	0	-0.11553987	-0.13133681
93.062069	0	-0.11594695	-0.13177932
93.475862	0	-0.11635546	-0.13222368
93.889655	0	-0.11676541	-0.1326699
94.303448	0	-0.11717683	-0.13311801
94.717241	0	-0.11758972	-0.13356804
95.131034	0	-0.11800412	-0.13402002
95.544828	0	-0.11842003	-0.13447396
95.958621	0	-0.11883749	-0.13492991
96.372414	0	-0.1192565	-0.13538788
96.786207	0	-0.1196771	-0.1358479
97.2	0	-0.12021073	-0.13643131
99.806897	0	-0.12465227	-0.1413447
102.41379	0	-0.12909511	-0.1463904
105.02069	0	-0.13354188	-0.15158256
107.62759	0	-0.13799428	-0.15693597
110.23448	0	-0.14245301	-0.16246595
112.84138	0	-0.14691776	-0.16818824
115.44828	0	-0.15138711	-0.17411879
118.05517	0	-0.15585842	-0.18027366
120.66207	0	-0.16032771	-0.18666882
123.26897	0	-0.16478946	-0.19332025
125.87586	0	-0.16923645	-0.20024408
128.48276	0	-0.17365953	-0.20745686
131.08966	0	-0.17804737	-0.21497568
133.69655	0	-0.18238623	-0.22281805
136.30345	0	-0.18665968	-0.23100142
138.91034	0	-0.19084837	-0.23954205
141.51724	0	-0.19492981	-0.24845323
144.12414	0	-0.19887826	-0.25774228
146.73103	0	-0.20266466	-0.26740592
149.33793	0	-0.20625677	-0.27742317
151.94483	0	-0.2096195	-0.28774457
154.55172	0	-0.21271548	-0.29827651
157.15862	0	-0.21550597	-0.30885928
159.76552	0	-0.21795202	-0.31923904
162.37241	0	-0.22001596	-0.32903796
164.97931	0	-0.22166314	-0.33773576
167.58621	0	-0.22286369	-0.34468928
170.1931	0	-0.22359429	-0.34922386
172.8	0	-0.22383965	-0.35080436
