t(s)	total_voltage(V)
0	4.1809414
0.05	3.9598017
0.1	3.9585751
0.2	3.9561823
0.4	3.9516692
0.8	3.9437201
1.6	3.9312325
3.2	3.9143065
6.4	3.8941998
12.8	3.8722759
19.2	3.8593201
25.6	3.8496841
32	3.8411792
38.4	3.8330797
51.2	3.8170022
64	3.8010111
76.8	3.7856007
102.4	3.7557856
128	3.7296681
179.2	3.6881574
230.4	3.6559462
281.6	3.6258057
332.8	3.5927668
384	3.5560769
435.2	3.5179475
486.4	3.4813598
537.6	3.4480944
588.8	3.4191125
640	3.3946152
691.2	3.373597
742.4	3.3544031
793.6	3.3348243
844.8	3.3134528
896	3.2904899
947.2	3.26627
998.4	3.2402568
1000	3.2394009
1051.2	3.2117025
1102.4	3.1833187
1153.6	3.1543746
1204.8	3.1249336
1256	3.0947257
1307.2	3.0629726
1358.4	3.0286718
1409.6	2.9895337
1460.8	2.9407775
1512	2.8762063
1537.6	2.8349158
1563.2	2.7848022
1588.8	2.7308546
1614.4	2.679449
1640	2.6258311
1665.6	2.5567318
