r(x_rel=0.25)	t=0	t=1000	t=1665
0	29866	18516.727	6221.5315
0.20206897	29866	18506.119	6203.9758
0.40413793	29866	18495.509	6186.4302
0.6062069	29866	18480.648	6161.8879
0.80827586	29866	18460.921	6129.3699
1.0103448	29866	18436.115	6088.5746
1.2124138	29866	18406.121	6039.3915
1.4144828	29866	18370.866	5981.7885
1.6165517	29866	18330.289	5915.7749
1.8186207	29866	18284.331	5841.3848
2.0206897	29866	18232.929	5758.67
2.2227586	29866	18176.014	5667.6946
2.4248276	29866	18113.505	5568.5326
2.6268966	29866	18045.312	5461.2651
2.8289655	29866	17971.335	5345.9782
3.0310345	29866	17891.46	5222.7609
3.2331034	29866	17805.569	5091.7033
3.4351724	29866	17713.534	4952.8946
3.6372414	29866	17615.225	4806.4216
3.8393103	29866	17510.51	4652.3673
4.0413793	29866	17399.261	4490.8095
4.2434483	29866	17281.357	4321.8206
4.4455172	29866	17156.685	4145.4667
4.6475862	29866	17025.138	3961.8082
4.8496552	29866	16886.615	3770.8997
5.0517241	29866	16741.017	3572.7898
5.2537931	29866	16588.235	3367.521
5.4558621	29866	16428.143	3155.128
5.657931	29866	16260.594	2935.6365
5.86	29866	16085.458	2709.115
