x	t=0	t=1000	t=1665
0	0.000381503	2.5938969	3.8627783
2.937931	0.000381503	2.5982229	3.857862
5.8758621	0.000381503	2.6113917	3.8429836
8.8137931	0.000381503	2.6335703	3.8182284
11.751724	0.000381503	2.6650315	3.7836815
14.689655	0.000381503	2.7061463	3.7395051
17.627586	0.000381503	2.7573721	3.6858884
20.565517	0.000381503	2.8192362	3.6230592
23.503448	0.000381503	2.8923055	3.551303
26.441379	0.000381503	2.9771271	3.4709444
29.37931	0.000381503	3.0740972	3.3823308
32.317241	0.000381503	3.1831812	3.2858243
35.255172	0.000381503	3.303305	3.1818723
38.193103	0.000381503	3.432571	3.0733104
41.131034	0.000381503	3.5479508	2.9756672
44.068966	0.000381503	3.6382904	2.8872691
47.006897	0.000381503	3.6950986	2.805737
49.944828	0.000381503	3.7087677	2.7294336
52.882759	0.000381503	3.6708041	2.6573192
55.82069	0.000381503	3.5779987	2.5886283
58.758621	0.000381503	3.4358966	2.5227116
61.696552	0.000381503	3.2584138	2.4589076
64.634483	0.000381503	3.0630226	2.3964867
67.572414	0.000381503	2.8648789	2.3346326
70.510345	0.000381503	2.6740604	2.2725794
73.448276	0.000381503	2.4968835	2.2096344
76.386207	0.000381503	2.3389238	2.145434
79.324138	0.000381503	2.2058997	2.0800688
82.262069	0.000381503	2.1015823	2.0140136
85.2	0.000381503	2.0263204	1.9478193
