x	t=0	t=1000	t=1665
0	0.092020002	0.21471339	0.59122869
2.937931	0.092020002	0.21471208	0.59122739
5.8758621	0.092020002	0.21471081	0.59122615
8.8137931	0.092020002	0.21470958	0.59122497
11.751724	0.092020002	0.21470839	0.59122384
14.689655	0.092020002	0.21470724	0.59122278
17.627586	0.092020002	0.21470614	0.59122177
20.565517	0.092020002	0.21470507	0.59122082
23.503448	0.092020002	0.21470405	0.59121993
26.441379	0.092020002	0.21470308	0.59121909
29.37931	0.092020002	0.21470215	0.5912183
32.317241	0.092020002	0.21470126	0.59121756
35.255172	0.092020002	0.21470043	0.59121688
38.193103	0.092020002	0.21469965	0.59121625
41.131034	0.092020002	0.21469892	0.59121566
44.068966	0.092020002	0.21469824	0.59121512
47.006897	0.092020002	0.21469762	0.59121462
49.944828	0.092020002	0.21469706	0.59121417
52.882759	0.092020002	0.21469656	0.59121376
55.82069	0.092020002	0.21469611	0.59121338
58.758621	0.092020002	0.21469571	0.59121305
61.696552	0.092020002	0.21469537	0.59121276
64.634483	0.092020002	0.21469508	0.59121251
67.572414	0.092020002	0.21469484	0.59121229
70.510345	0.092020002	0.21469464	0.59121211
73.448276	0.092020002	0.21469449	0.59121197
76.386207	0.092020002	0.21469437	0.59121185
79.324138	0.092020002	0.21469429	0.59121178
82.262069	0.092020002	0.21469424	0.59121173
85.2	0.092020002	0.21469422	0.59121171
