t(s)	total_current_estimated(A)
0	0
0.05	-10
0.1	-10
0.2	-10
0.4	-10
0.8	-10
1.6	-10
3.2	-10
6.4	-10
12.8	-10
19.2	-10
25.6	-10
32	-10
38.4	-10
51.2	-10
64	-10
76.8	-10
102.4	-10
128	-10
179.2	-10
230.4	-10
281.6	-10
332.8	-10
384	-10
435.2	-10
486.4	-10
537.6	-10
588.8	-10
640	-10
691.2	-10
742.4	-10
793.6	-10
844.8	-10
896	-10
947.2	-10
998.4	-10
1000	-10
1051.2	-10
1102.4	-10
1153.6	-10
1204.8	-10
1256	-10
1307.2	-10
1358.4	-10
1409.6	-10
1460.8	-10
1512	-10
1537.6	-10
1563.2	-10
1588.8	-10
1614.4	-10
1640	-10
1665.6	-10
