r(x_rel=0)	t=0	t=1000	t=2000	t=2360
0	29866	21425.97	9272.5268	3597.6603
0.20206897	29866	21416.366	9260.8721	3585.6224
0.40413793	29866	21406.766	9249.2166	3573.5908
0.6062069	29866	21393.337	9232.897	3556.7603
0.80827586	29866	21375.541	9211.245	3534.4579
1.0103448	29866	21353.211	9184.0345	3506.4744
1.2124138	29866	21326.284	9151.1587	3472.7306
1.4144828	29866	21294.742	9112.5548	3433.1994
1.6165517	29866	21258.589	9068.1782	3387.8803
1.8186207	29866	21217.844	9017.9915	3336.7877
2.0206897	29866	21172.538	8961.9583	3279.9453
2.2227586	29866	21122.713	8900.04	3217.3828
2.4248276	29866	21068.419	8832.1926	3149.1332
2.6268966	29866	21009.716	8758.3647	3075.2311
2.8289655	29866	20946.672	8678.4953	2995.711
3.0310345	29866	20879.364	8592.5124	2910.6061
3.2331034	29866	20807.879	8500.3308	2819.9466
3.4351724	29866	20732.312	8401.8509	2723.7596
3.6372414	29866	20652.768	8296.9576	2622.0675
3.8393103	29866	20569.358	8185.5187	2514.8886
4.0413793	29866	20482.204	8067.3847	2402.2376
4.2434483	29866	20391.432	7942.388	2284.1269
4.4455172	29866	20297.175	7810.3434	2160.57
4.6475862	29866	20199.569	7671.0482	2031.5861
4.8496552	29866	20098.754	7524.2833	1897.2083
5.0517241	29866	19994.868	7369.8135	1757.4936
5.2537931	29866	19888.046	7207.3888	1612.5394
5.4558621	29866	19778.417	7036.7429	1462.5041
5.657931	29866	19666.101	6857.5908	1307.6367
5.86	29866	19551.23	6669.6712	1148.3485
