x	t=0	t=1000	t=2000	t=2360
0	1000	2348.6921	2794.526	2648.1448
2.937931	1000	2344.2346	2787.788	2642.0442
5.8758621	1000	2330.8709	2767.5716	2623.752
8.8137931	1000	2308.626	2733.8691	2593.297
11.751724	1000	2277.5377	2686.6687	2550.7272
14.689655	1000	2237.6514	2625.9559	2496.1104
17.627586	1000	2189.0131	2551.7167	2429.5341
20.565517	1000	2131.66	2463.9425	2351.1055
23.503448	1000	2065.6122	2362.6386	2260.9514
26.441379	1000	1990.8617	2247.8378	2159.2183
29.37931	1000	1911.7626	2119.6172	2046.0716
32.317241	1000	1832.6116	1978.1186	1923.6837
35.255172	1000	1754.795	1839.1499	1808.5374
38.193103	1000	1679.0685	1713.7458	1702.2709
41.131034	1000	1605.7375	1601.0767	1604.4903
44.068966	1000	1534.8327	1499.1263	1514.1318
47.006897	1000	1466.2383	1405.9703	1430.0721
49.944828	1000	1399.7703	1320.0562	1351.3258
52.882759	1000	1335.2223	1240.1842	1277.0802
55.82069	1000	1272.3884	1165.4313	1206.678
58.758621	1000	1211.0747	1095.0791	1139.5896
61.696552	1000	1151.1042	1028.5593	1075.3859
64.634483	1000	1092.3178	965.41389	1013.7166
67.572414	1000	1034.574	905.2667	954.29321
70.510345	1000	977.74781	847.80363	896.87576
73.448276	1000	921.73008	792.7588	841.26271
76.386207	1000	866.42713	739.90484	787.28323
79.324138	1000	811.76199	689.046	734.79139
82.262069	1000	757.6775	640.013	683.66165
85.2	1000	704.1422	592.65923	633.78516
85.613793	1000	699.81838	588.90437	629.78768
86.027586	1000	696.93079	586.41225	627.11971
86.441379	1000	694.05239	583.92625	624.45942
86.855172	1000	691.18311	581.44634	621.80676
87.268966	1000	688.32288	578.97248	619.16167
87.682759	1000	685.47164	576.50463	616.52411
88.096552	1000	682.6293	574.04277	613.89402
88.510345	1000	679.79582	571.58684	611.27135
88.924138	1000	676.97112	569.13683	608.65604
89.337931	1000	674.15514	566.69268	606.04806
89.751724	1000	671.34782	564.25438	603.44733
90.165517	1000	668.54909	561.82188	600.85383
90.57931	1000	665.75888	559.39514	598.26749
90.993103	1000	662.97715	556.97415	595.68827
91.406897	1000	660.20382	554.55886	593.11612
91.82069	1000	657.43883	552.14923	590.55099
92.234483	1000	654.68214	549.74525	587.99283
92.648276	1000	651.93367	547.34687	585.44161
93.062069	1000	649.19337	544.95406	582.89727
93.475862	1000	646.46117	542.56679	580.35976
93.889655	1000	643.73704	540.18503	577.82905
94.303448	1000	641.0209	537.80875	575.30508
94.717241	1000	638.3127	535.43792	572.78782
95.131034	1000	635.61239	533.07251	570.27721
95.544828	1000	632.91991	530.71248	567.77322
95.958621	1000	630.23521	528.3578	565.27581
96.372414	1000	627.55823	526.00845	562.78492
96.786207	1000	624.88892	523.6644	560.30052
97.2	1000	621.53557	520.70702	557.17655
99.806897	1000	594.69667	496.86922	532.05687
102.41379	1000	569.56764	474.41729	508.36315
105.02069	1000	546.01977	453.26652	486.01223
107.62759	1000	523.94125	433.34192	464.93019
110.23448	1000	503.2344	414.57671	445.05111
112.84138	1000	483.81349	396.91131	426.31599
115.44828	1000	465.60297	380.2923	408.67184
118.05517	1000	448.53601	364.6717	392.07101
120.66207	1000	432.55334	350.00627	376.4705
123.26897	1000	417.60227	336.25699	361.83148
125.87586	1000	403.63585	323.3886	348.11882
128.48276	1000	390.61221	311.36916	335.30074
131.08966	1000	378.49395	300.16976	323.34843
133.69655	1000	367.24768	289.76421	312.23581
136.30345	1000	356.84361	280.1288	301.93928
138.91034	1000	347.25516	271.24209	292.43748
141.51724	1000	338.45866	263.08472	283.71116
144.12414	1000	330.43312	255.63928	275.74297
146.73103	1000	323.16	248.89015	268.51733
149.33793	1000	316.62299	242.8234	262.02036
151.94483	1000	310.80788	237.42671	256.23972
154.55172	1000	305.70241	232.68925	251.16452
157.15862	1000	301.29618	228.60165	246.7853
159.76552	1000	297.5805	225.15592	243.09388
162.37241	1000	294.5484	222.34543	240.08339
164.97931	1000	292.1945	220.16482	237.74813
167.58621	1000	290.51501	218.61002	236.08359
170.1931	1000	289.50771	217.67821	235.08641
172.8	1000	289.17193	217.36776	234.7543
