r(x_rel=0)	t=0	t=1000	t=2000	t=2360
0	29866	21424.791	9263.6511	3589.326
0.20206897	29866	21415.184	9251.9994	3577.3019
0.40413793	29866	21405.582	9240.3469	3565.2843
0.6062069	29866	21392.15	9224.0313	3548.4731
0.80827586	29866	21374.349	9202.3842	3526.1962
1.0103448	29866	21352.014	9175.1796	3498.2447
1.2124138	29866	21325.082	9142.3103	3464.5389
1.4144828	29866	21293.533	9103.7131	3425.052
1.6165517	29866	21257.373	9059.3429	3379.783
1.8186207	29866	21216.62	9009.1616	3328.7461
2.0206897	29866	21171.307	8953.1324	3271.9647
2.2227586	29866	21121.475	8891.2156	3209.4681
2.4248276	29866	21067.174	8823.3664	3141.2888
2.6268966	29866	21008.464	8749.5322	3067.4608
2.8289655	29866	20945.415	8669.6508	2988.0182
3.0310345	29866	20878.103	8583.6487	2902.9935
3.2331034	29866	20806.616	8491.4393	2812.4164
3.4351724	29866	20731.049	8392.9212	2716.3132
3.6372414	29866	20651.507	8287.9775	2614.706
3.8393103	29866	20568.102	8176.4741	2507.6127
4.0413793	29866	20480.956	8058.2594	2395.0476
4.2434483	29866	20390.196	7933.1639	2277.0231
4.4455172	29866	20295.954	7801.0002	2153.5531
4.6475862	29866	20198.368	7661.5638	2024.6578
4.8496552	29866	20097.578	7514.6334	1890.3717
5.0517241	29866	19993.72	7359.9722	1750.7543
5.2537931	29866	19886.931	7197.3284	1605.9066
5.4558621	29866	19777.339	7026.4339	1455.9922
5.657931	29866	19665.066	6847.0018	1301.267
5.86	29866	19550.241	6658.7686	1142.1514
