r(x_rel=0)	t=0	t=1000	t=2000	t=2360
0	17038	23194.149	38496.35	44223.592
0.18	17038	23267.788	38582.896	44308.64
0.36	17038	23341.498	38669.436	44393.673
0.54	17038	23444.846	38790.582	44512.688
0.72	17038	23582.21	38951.263	44670.509
0.9	17038	23755.225	39153.11	44868.708
1.08	17038	23964.821	39396.846	45107.957
1.26	17038	24211.693	39682.84	45388.576
1.44	17038	24496.464	40011.292	45710.709
1.62	17038	24819.741	40382.306	46074.401
1.8	17038	25182.151	40795.924	46479.624
1.98	17038	25584.355	41252.141	46926.302
2.16	17038	26027.056	41750.914	47414.308
2.34	17038	26510.999	42292.166	47943.471
2.52	17038	27036.972	42875.782	48513.568
2.7	17038	27605.799	43501.61	49124.318
2.88	17038	28218.335	44169.457	49775.373
3.06	17038	28875.458	44879.09	50466.305
3.24	17038	29578.059	45630.237	51196.589
3.42	17038	30327.036	46422.596	51965.587
3.6	17038	31123.29	47255.844	52772.53
3.78	17038	31967.727	48129.657	53616.499
3.96	17038	32861.26	49043.742	54496.412
4.14	17038	33804.825	49997.867	55411.009
4.32	17038	34799.39	50991.899	56358.85
4.5	17038	35845.953	52025.839	57338.314
4.68	17038	36945.518	53099.855	58347.611
4.86	17038	38099.021	54214.297	59384.793
5.04	17038	39307.208	55369.709	60447.745
5.22	17038	40570.196	56566.525	61533.915
