r(x_rel=0.5)	t=0	t=1000	t=2000	t=2360
0	17038	22385.249	36539.463	41898.879
0.18	17038	22453.273	36619.449	41979.623
0.36	17038	22521.402	36699.444	42060.372
0.54	17038	22617.001	36811.452	42173.43
0.72	17038	22744.199	36960.065	42323.421
0.9	17038	22904.613	37146.83	42511.898
1.08	17038	23099.228	37372.471	42739.576
1.26	17038	23328.822	37637.398	43006.855
1.44	17038	23594.107	37941.876	43313.986
1.62	17038	23895.776	38286.095	43661.143
1.8	17038	24234.524	38670.207	44048.46
1.98	17038	24611.049	39094.333	44476.044
2.16	17038	25026.052	39558.583	44943.989
2.34	17038	25480.23	40063.055	45452.38
2.52	17038	25974.272	40607.84	46001.298
2.7	17038	26508.844	41193.025	46590.823
2.88	17038	27084.588	41818.693	47221.033
3.06	17038	27702.108	42484.926	47892.014
3.24	17038	28361.963	43191.805	48603.853
3.42	17038	29064.657	43939.409	49356.645
3.6	17038	29810.635	44727.814	50150.493
3.78	17038	30600.267	45557.096	50985.511
3.96	17038	31433.846	46427.321	51861.827
4.14	17038	32311.573	47338.553	52779.584
4.32	17038	33233.545	48290.846	53738.947
4.5	17038	34199.749	49284.245	54740.104
4.68	17038	35210.051	50318.791	55783.279
4.86	17038	36264.211	51394.516	56868.732
5.04	17038	37361.91	52511.457	57996.781
5.22	17038	38502.537	53669.377	59167.535
