x	t=0	t=1000	t=2000	t=2360
0	0.25	0.24901615	0.24899276	0.24898448
2.937931	0.25	0.24901615	0.24899276	0.24898448
5.8758621	0.25	0.24901615	0.24899276	0.24898448
8.8137931	0.25	0.24901615	0.24899276	0.24898448
11.751724	0.25	0.24901615	0.24899276	0.24898448
14.689655	0.25	0.24901615	0.24899276	0.24898448
17.627586	0.25	0.24901615	0.24899276	0.24898448
20.565517	0.25	0.24901615	0.24899276	0.24898448
23.503448	0.25	0.24901615	0.24899276	0.24898448
26.441379	0.25	0.24901615	0.24899276	0.24898448
29.37931	0.25	0.24901615	0.24899276	0.24898448
32.317241	0.25	0.24901615	0.24899276	0.24898448
35.255172	0.25	0.24901615	0.24899276	0.24898448
38.193103	0.25	0.24901615	0.24899276	0.24898448
41.131034	0.25	0.24901615	0.24899276	0.24898448
44.068966	0.25	0.24901615	0.24899276	0.24898448
47.006897	0.25	0.24901615	0.24899276	0.24898448
49.944828	0.25	0.24901615	0.24899276	0.24898448
52.882759	0.25	0.24901615	0.24899276	0.24898448
55.82069	0.25	0.24901615	0.24899276	0.24898448
58.758621	0.25	0.24901615	0.24899276	0.24898448
61.696552	0.25	0.24901615	0.24899276	0.24898448
64.634483	0.25	0.24901615	0.24899276	0.24898448
67.572414	0.25	0.24901615	0.24899276	0.24898448
70.510345	0.25	0.24901615	0.24899276	0.24898448
73.448276	0.25	0.24901615	0.24899276	0.24898448
76.386207	0.25	0.24901615	0.24899276	0.24898448
79.324138	0.25	0.24901615	0.24899276	0.24898448
82.262069	0.25	0.24901615	0.24899276	0.24898448
85.2	0.47	0.24901615	0.24899276	0.24898448
85.613793	0.47	0.47	0.47	0.47
86.027586	0.47	0.47	0.47	0.47
86.441379	0.47	0.47	0.47	0.47
86.855172	0.47	0.47	0.47	0.47
87.268966	0.47	0.47	0.47	0.47
87.682759	0.47	0.47	0.47	0.47
88.096552	0.47	0.47	0.47	0.47
88.510345	0.47	0.47	0.47	0.47
88.924138	0.47	0.47	0.47	0.47
89.337931	0.47	0.47	0.47	0.47
89.751724	0.47	0.47	0.47	0.47
90.165517	0.47	0.47	0.47	0.47
90.57931	0.47	0.47	0.47	0.47
90.993103	0.47	0.47	0.47	0.47
91.406897	0.47	0.47	0.47	0.47
91.82069	0.47	0.47	0.47	0.47
92.234483	0.47	0.47	0.47	0.47
92.648276	0.47	0.47	0.47	0.47
93.062069	0.47	0.47	0.47	0.47
93.475862	0.47	0.47	0.47	0.47
93.889655	0.47	0.47	0.47	0.47
94.303448	0.47	0.47	0.47	0.47
94.717241	0.47	0.47	0.47	0.47
95.131034	0.47	0.47	0.47	0.47
95.544828	0.47	0.47	0.47	0.47
95.958621	0.47	0.47	0.47	0.47
96.372414	0.47	0.47	0.47	0.47
96.786207	0.47	0.47	0.47	0.47
97.2	0.335	0.335	0.335	0.335
99.806897	0.335	0.335	0.335	0.335
102.41379	0.335	0.335	0.335	0.335
105.02069	0.335	0.335	0.335	0.335
107.62759	0.335	0.335	0.335	0.335
110.23448	0.335	0.335	0.335	0.335
112.84138	0.335	0.335	0.335	0.335
115.44828	0.335	0.335	0.335	0.335
118.05517	0.335	0.335	0.335	0.335
120.66207	0.335	0.335	0.335	0.335
123.26897	0.335	0.335	0.335	0.335
125.87586	0.335	0.335	0.335	0.335
128.48276	0.335	0.335	0.335	0.335
131.08966	0.335	0.335	0.335	0.335
133.69655	0.335	0.335	0.335	0.335
136.30345	0.335	0.335	0.335	0.335
138.91034	0.335	0.335	0.335	0.335
141.51724	0.335	0.335	0.335	0.335
144.12414	0.335	0.335	0.335	0.335
146.73103	0.335	0.335	0.335	0.335
149.33793	0.335	0.335	0.335	0.335
151.94483	0.335	0.335	0.335	0.335
154.55172	0.335	0.335	0.335	0.335
157.15862	0.335	0.335	0.335	0.335
159.76552	0.335	0.335	0.335	0.335
162.37241	0.335	0.335	0.335	0.335
164.97931	0.335	0.335	0.335	0.335
167.58621	0.335	0.335	0.335	0.335
170.1931	0.335	0.335	0.335	0.335
172.8	0.335	0.335	0.335	0.335
